PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"39663467","Self-improving generative foundation model for synthetic medical image generation and clinical applications","Wang J, Wang K, Yu Y, Lu Y, Xiao W, Sun Z, Liu F, Zou Z, Gao Y, Yang L, Zhou HY, Miao H, Zhao W, Huang L, Zeng L, Guo R, Chong I, Deng B, Cheng L, Chen X, Luo J, Zhu MH, Baptista-Hon D, Monteiro O, Li M, Ke Y, Li J, Zeng S, Guan T, Zeng J, Xue K, Oermann E, Luo H, Yin Y, Zhang K, Qu J.","Nat Med. 2025 Feb;31(2):609-617. doi: 10.1038/s41591-024-03359-y. Epub 2024 Dec 11.","Wang J","Nat Med","2025","2024/12/11","","","10.1038/s41591-024-03359-y"
"37704705","A generalisation of the method of regression calibration","Little MP, Hamada N, Zablotska LB.","Sci Rep. 2023 Sep 13;13(1):15127. doi: 10.1038/s41598-023-42283-y.","Little MP","Sci Rep","2023","2023/09/13","PMC10499875","","10.1038/s41598-023-42283-y"
"41193692","A multimodal whole-slide foundation model for pathology","Ding T, Wagner SJ, Song AH, Chen RJ, Lu MY, Zhang A, Vaidya AJ, Jaume G, Shaban M, Kim A, Williamson DFK, Robertson H, Chen B, Almagro-Pérez C, Doucet P, Sahai S, Chen C, Chen CS, Komura D, Kawabe A, Ochi M, Sato S, Yokose T, Miyagi Y, Ishikawa S, Gerber G, Peng T, Le LP, Mahmood F.","Nat Med. 2025 Nov;31(11):3749-3761. doi: 10.1038/s41591-025-03982-3. Epub 2025 Nov 5.","Ding T","Nat Med","2025","2025/11/05","PMC12618242","","10.1038/s41591-025-03982-3"
"36860496","Bayesian Inference-Based Gaussian Mixture Models With Optimal Components Estimation Towards Large-Scale Synthetic Data Generation for In Silico Clinical Trials","Pezoulas VC, Tachos NS, Gkois G, Olivotto I, Barlocco F, Fotiadis DI.","IEEE Open J Eng Med Biol. 2022 Jun 10;3:108-114. doi: 10.1109/OJEMB.2022.3181796. eCollection 2022.","Pezoulas VC","IEEE Open J Eng Med Biol","2022","2023/03/02","PMC9970043","","10.1109/OJEMB.2022.3181796"
"27649100","A 4D biomechanical lung phantom for joint segmentation/registration evaluation","Markel D, Levesque I, Larkin J, Léger P, El Naqa I.","Phys Med Biol. 2016 Oct 7;61(19):7012-7030. doi: 10.1088/0031-9155/61/19/7012. Epub 2016 Sep 20.","Markel D","Phys Med Biol","2016","2016/09/21","","","10.1088/0031-9155/61/19/7012"
"34457148","Generative Adversarial Networks for Creating Synthetic Free-Text Medical Data: A Proposal for Collaborative Research and Re-use of Machine Learning Models","Kasthurirathne SN, Dexter G, Grannis SJ.","AMIA Jt Summits Transl Sci Proc. 2021 May 17;2021:335-344. eCollection 2021.","Kasthurirathne SN","AMIA Jt Summits Transl Sci Proc","2021","2021/08/30","PMC8378601","",""
"39929595","Generative Versus Nongenerative Artificial Intelligence","Hasan SS, Woo JJ, Cote MP, Ramkumar PN.","Arthroscopy. 2025 Mar;41(3):545-546. doi: 10.1016/j.arthro.2024.12.001.","Hasan SS","Arthroscopy","2025","2025/02/10","","","10.1016/j.arthro.2024.12.001"
"36869925","Tissue-growth-based synthetic tree generation and perfusion simulation","Kim HJ, Rundfeldt HC, Lee I, Lee S.","Biomech Model Mechanobiol. 2023 Jun;22(3):1095-1112. doi: 10.1007/s10237-023-01703-8. Epub 2023 Mar 4.","Kim HJ","Biomech Model Mechanobiol","2023","2023/03/04","PMC10167159","","10.1007/s10237-023-01703-8"
"36380246","DataSifterText: Partially Synthetic Text Generation for Sensitive Clinical Notes","Zhou N, Wu Q, Wu Z, Marino S, Dinov ID.","J Med Syst. 2022 Nov 16;46(12):96. doi: 10.1007/s10916-022-01880-6.","Zhou N","J Med Syst","2022","2022/11/15","PMC10111580","NIHMS1885013","10.1007/s10916-022-01880-6"
"38112583","Aerobic training and vitamin E administration ameliorates cardiac apoptosis markers in rats exposed to methamphetamine","Salimi H, Haghighi AH, Ababzadeh S, Marefati H, Abbasian S, Pond AL, Gentil P.","Eur J Transl Myol. 2023 Dec 11;33(4):12112. doi: 10.4081/ejtm.2023.12112.","Salimi H","Eur J Transl Myol","2023","2023/12/19","PMC10811645","","10.4081/ejtm.2023.12112"
"40360460","Improving AI models for rare thyroid cancer subtype by text guided diffusion models","Dai F, Yao S, Wang M, Zhu Y, Qiu X, Sun P, Qiu C, Yin J, Shen G, Sun J, Wang M, Wang Y, Yang Z, Sang J, Wang X, Sun F, Cai W, Zhang X, Lu H.","Nat Commun. 2025 May 13;16(1):4449. doi: 10.1038/s41467-025-59478-8.","Dai F","Nat Commun","2025","2025/05/13","PMC12075465","","10.1038/s41467-025-59478-8"
"31647443","A Method for Generating Synthetic Electronic Medical Record Text","Guan J, Li R, Yu S, Zhang X.","IEEE/ACM Trans Comput Biol Bioinform. 2021 Jan-Feb;18(1):173-182. doi: 10.1109/TCBB.2019.2948985. Epub 2021 Feb 3.","Guan J","IEEE/ACM Trans Comput Biol Bioinform","2021","2019/10/25","","","10.1109/TCBB.2019.2948985"
"40520216","Synthetic4Health: generating annotated synthetic clinical letters","Ren L, Belkadi S, Han L, Del-Pinto W, Nenadic G.","Front Digit Health. 2025 May 30;7:1497130. doi: 10.3389/fdgth.2025.1497130. eCollection 2025.","Ren L","Front Digit Health","2025","2025/06/16","PMC12163008","","10.3389/fdgth.2025.1497130"
"36222162","Leveraging deep learning algorithms for synthetic data generation to design and analyze biological networks","Achuthan S, Chatterjee R, Kotnala S, Mohanty A, Bhattacharya S, Salgia R, Kulkarni P.","J Biosci. 2022;47:43.","Achuthan S","J Biosci","2022","2022/10/12","","",""
"38610288","MAM-E: Mammographic Synthetic Image Generation with Diffusion Models","Montoya-Del-Angel R, Sam-Millan K, Vilanova JC, Martí R.","Sensors (Basel). 2024 Mar 24;24(7):2076. doi: 10.3390/s24072076.","Montoya-Del-Angel R","Sensors (Basel)","2024","2024/04/13","PMC11014323","","10.3390/s24072076"
"39712811","Evaluating Text-to-Image Generated Photorealistic Images of Human Anatomy","Muhr P, Pan Y, Tumescheit C, Kübler AK, Parmaksiz HK, Chen C, Bolaños Orozco PS, Lienkamp SS, Hastings J.","Cureus. 2024 Nov 21;16(11):e74193. doi: 10.7759/cureus.74193. eCollection 2024 Nov.","Muhr P","Cureus","2024","2024/12/23","PMC11663238","","10.7759/cureus.74193"
"40494945","Empirical evaluation of artificial intelligence distillation techniques for ascertaining cancer outcomes from electronic health records","Riaz IB, Naqvi SAA, Ashraf N, Harris GJ, Kehl KL.","NPJ Digit Med. 2025 Jun 10;8(1):347. doi: 10.1038/s41746-025-01646-7.","Riaz IB","NPJ Digit Med","2025","2025/06/10","PMC12152177","","10.1038/s41746-025-01646-7"
"38200151","Large language models to identify social determinants of health in electronic health records","Guevara M, Chen S, Thomas S, Chaunzwa TL, Franco I, Kann BH, Moningi S, Qian JM, Goldstein M, Harper S, Aerts HJWL, Catalano PJ, Savova GK, Mak RH, Bitterman DS.","NPJ Digit Med. 2024 Jan 11;7(1):6. doi: 10.1038/s41746-023-00970-0.","Guevara M","NPJ Digit Med","2024","2024/01/10","PMC10781957","","10.1038/s41746-023-00970-0"
"37362656","Multimodal medical tensor fusion network-based DL framework for abnormality prediction from the radiology CXRs and clinical text reports","Shetty S, S AV, Mahale A.","Multimed Tools Appl. 2023 Apr 21:1-48. doi: 10.1007/s11042-023-14940-x. Online ahead of print.","Shetty S","Multimed Tools Appl","2023","2023/06/26","PMC10119019","","10.1007/s11042-023-14940-x"
"37973919","A study of generative large language model for medical research and healthcare","Peng C, Yang X, Chen A, Smith KE, PourNejatian N, Costa AB, Martin C, Flores MG, Zhang Y, Magoc T, Lipori G, Mitchell DA, Ospina NS, Ahmed MM, Hogan WR, Shenkman EA, Guo Y, Bian J, Wu Y.","NPJ Digit Med. 2023 Nov 16;6(1):210. doi: 10.1038/s41746-023-00958-w.","Peng C","NPJ Digit Med","2023","2023/11/17","PMC10654385","","10.1038/s41746-023-00958-w"
"39442600","ChatGPT-4 extraction of heart failure symptoms and signs from electronic health records","Workman TE, Ahmed A, Sheriff HM, Raman VK, Zhang S, Shao Y, Faselis C, Fonarow GC, Zeng-Treitler Q.","Prog Cardiovasc Dis. 2024 Nov-Dec;87:44-49. doi: 10.1016/j.pcad.2024.10.010. Epub 2024 Oct 21.","Workman TE","Prog Cardiovasc Dis","2024","2024/10/23","","","10.1016/j.pcad.2024.10.010"
"36411295","Prediction of [Formula: see text]-Thalassemia carriers using complete blood count features","Rustam F, Ashraf I, Jabbar S, Tutusaus K, Mazas C, Barrera AEP, de la Torre Diez I.","Sci Rep. 2022 Nov 21;12(1):19999. doi: 10.1038/s41598-022-22011-8.","Rustam F","Sci Rep","2022","2022/11/21","PMC9678892","","10.1038/s41598-022-22011-8"
