PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"36494374","A Multifaceted benchmarking of synthetic electronic health record generation models","Yan C, Yan Y, Wan Z, Zhang Z, Omberg L, Guinney J, Mooney SD, Malin BA.","Nat Commun. 2022 Dec 9;13(1):7609. doi: 10.1038/s41467-022-35295-1.","Yan C","Nat Commun","2022","2022/12/09","PMC9734113","","10.1038/s41467-022-35295-1"
"38414538","Generating synthetic data from administrative health records for drug safety and effectiveness studies","Ayilara OF, Platt RW, Dahl M, Coulombe J, Ginestet PG, Chateau D, Lix LM.","Int J Popul Data Sci. 2023 Nov 27;8(1):2176. doi: 10.23889/ijpds.v8i1.2176. eCollection 2023.","Ayilara OF","Int J Popul Data Sci","2023","2024/02/28","PMC10898503","","10.23889/ijpds.v8i1.2176"
"37120594","Synthetic electronic health records generated with variational graph autoencoders","Nikolentzos G, Vazirgiannis M, Xypolopoulos C, Lingman M, Brandt EG.","NPJ Digit Med. 2023 Apr 29;6(1):83. doi: 10.1038/s41746-023-00822-x.","Nikolentzos G","NPJ Digit Med","2023","2023/04/29","PMC10148837","","10.1038/s41746-023-00822-x"
"38153785","Differentiating ChatGPT-Generated and Human-Written Medical Texts: Quantitative Study","Liao W, Liu Z, Dai H, Xu S, Wu Z, Zhang Y, Huang X, Zhu D, Cai H, Li Q, Liu T, Li X.","JMIR Med Educ. 2023 Dec 28;9:e48904. doi: 10.2196/48904.","Liao W","JMIR Med Educ","2023","2023/12/28","PMC10784984","","10.2196/48904"
"37567968","EHR-Safe: generating high-fidelity and privacy-preserving synthetic electronic health records","Yoon J, Mizrahi M, Ghalaty NF, Jarvinen T, Ravi AS, Brune P, Kong F, Anderson D, Lee G, Meir A, Bandukwala F, Kanal E, Arık SÖ, Pfister T.","NPJ Digit Med. 2023 Aug 11;6(1):141. doi: 10.1038/s41746-023-00888-7.","Yoon J","NPJ Digit Med","2023","2023/08/11","PMC10421926","","10.1038/s41746-023-00888-7"
"29025144","Synthea: An approach, method, and software mechanism for generating synthetic patients and the synthetic electronic health care record","Walonoski J, Kramer M, Nichols J, Quina A, Moesel C, Hall D, Duffett C, Dube K, Gallagher T, McLachlan S.","J Am Med Inform Assoc. 2018 Mar 1;25(3):230-238. doi: 10.1093/jamia/ocx079.","Walonoski J","J Am Med Inform Assoc","2018","2017/10/13","PMC7651916","","10.1093/jamia/ocx079"
"37548695","Synthetic bone grafting with preserved cartilage flap via a medial malleolus osteotomy approach to treat osteochondral lesion of the talus: technical note and preliminary clinical results","Yao X, Yun Z, Du Y, Xie X, Chen S, Cheng X.","Int Orthop. 2023 Nov;47(11):2743-2749. doi: 10.1007/s00264-023-05920-9. Epub 2023 Aug 7.","Yao X","Int Orthop","2023","2023/08/07","","","10.1007/s00264-023-05920-9"
"38153779","Can OpenEHR, ISO 13606, and HL7 FHIR Work Together? An Agnostic Approach for the Selection and Application of Electronic Health Record Standards to the Next-Generation Health Data Spaces","Pedrera-Jiménez M, García-Barrio N, Frid S, Moner D, Boscá-Tomás D, Lozano-Rubí R, Kalra D, Beale T, Muñoz-Carrero A, Serrano-Balazote P.","J Med Internet Res. 2023 Dec 28;25:e48702. doi: 10.2196/48702.","Pedrera-Jiménez M","J Med Internet Res","2023","2023/12/28","PMC10784985","","10.2196/48702"
"36228120","Generating synthetic mixed discrete-continuous health records with mixed sum-product networks","Kroes SKS, van Leeuwen M, Groenwold RHH, Janssen MP.","J Am Med Inform Assoc. 2022 Dec 13;30(1):16-25. doi: 10.1093/jamia/ocac184.","Kroes SKS","J Am Med Inform Assoc","2022","2022/10/13","PMC9748584","","10.1093/jamia/ocac184"
"36138707","Feasibility of Using Multiplayer Game-Based Dual-Task Training with Augmented Reality and Personal Health Record on Social Skills and Cognitive Function in Children with Autism","Nekar DM, Kang H, Alao H, Yu J.","Children (Basel). 2022 Sep 15;9(9):1398. doi: 10.3390/children9091398.","Nekar DM","Children (Basel)","2022","2022/09/23","PMC9497827","","10.3390/children9091398"
