,Year,Title,Authors,Journal,Keywords,DOI,Abstract
0,2025,Extending CARDIO:DE: Additional annotation guidelines and evaluation of NLP approaches for clinical applications,"Becker, Matthias;Krumscheid, Mario;Knobelspies, Alisa;Seydel, Markus;Richter-Pechanski, Phillip;Karl, Alexander;",International Journal of Medical Informatics,"Information Extraction, Natural Language Processing, Cardiovascular Diseases, Clinical Text Mining, Named-Entity Recognition",https://doi.org/10.1016/j.ijmedinf.2025.106009,"Background Cardiovascular diseases are a major cause of morbidity and mortality, and the management of these conditions generates extensive clinical data. The CARDIO:DE dataset, a German-language corpus of cardiovascular clinical routine letters, has been developed to support natural language processing research. This study seeks to enhance the dataset by introducing refined annotation guidelines and expanding the annotation schema. Objective The objective of this study was to extend the CARDIO:DE dataset with additional annotation categories, and evaluate state-of-the-art NLP models to enhance the utility of the dataset for clinical applications. Methods The annotation schema was expanded to include categories such as diagnostic procedures, medical finding, and therapeutic interventions (Diagnostic, Diagnosis, Drug, Medical_Finding, Therapy). The iterative annotation process involved expert annotators, ensuring high-quality, consistent annotations. Four models—GBERT, medBERT.de, XLM-RoBERTa, and TinyLlama—were fine-tuned and evaluated on the dataset. Model performance was assessed using entity-wise precision, recall, and F1 scores. Results The extended dataset includes 304,582 token-based annotations, with the highest concentration in medical finding. The inter-annotator agreement scores improved during the iterative process, reaching up to 0.98 for certain subsets. Among the evaluated models, TinyLlama outperformed the other models in entity recognition, achieving a macro-average F1 score of 0.845, highlighting its potential for clinical NLP tasks. Conclusions The extended CARDIO:DE dataset, with its refined annotation guidelines provides a robust foundation for natural language processing applications in the clinical domain. The performance of the TinyLlama model demonstrates the potential of fine-tuning non-domain-specific models for clinical text processing. This work paves the way for more accurate NLP solutions in healthcare, particularly for information extraction and decision support in cardiology."
1,2025,Gender Disparities in Artificial Intelligence–Generated Images of Hospital Leadership in the United States,"Gisselbaek, Mia;Berger-Estilita, Joana;Minsart, Laurens;Köselerli, Ekin;Devos, Arnout;Matos, Francisco;{Barreto Chang}, Odmara;Dieckmann, Peter;Suppan, Melanie;Saxena, Sarah;",Mayo Clinic Proceedings: Digital Health,,https://doi.org/10.1016/j.mcpdig.2025.100218,"Objective To evaluate demographic representation in artificial intelligence (AI)–generated images of hospital leadership roles and compare them with real-world data from US hospitals. Patients and Methods This cross-sectional study, conducted from October 1, 2024 to October 31, 2024, analyzed images generated by 3 AI text-to-image models: Midjourney 6.0, OpenAI ChatGPT DALL-E 3, and Google Gemini Imagen 3. Standardized prompts were used to create 1200 images representing 4 key leadership roles: chief executive officers, chief medical officers, chief nursing officers, and chief financial officers. Real-world demographic data from 4397 US hospitals showed that chief executive officers were 73.2% men; chief financial officers, 65.2% men; chief medical officers, 85.7% men; and chief nursing officers, 9.4% men (overall: 60.1% men). The primary outcome was gender representation, with secondary outcomes including race/ethnicity and age. Two independent reviewers assessed images, with interrater reliability evaluated using Cohen κ. Results Interrater agreement was high for gender (κ=0.998) and moderate for race/ethnicity (κ=0.670) and age (κ=0.605). DALL-E overrepresented men (86.5%) and White individuals (94.5%). Midjourney showed improved gender balance (69.5% men) but overrepresented White individuals (75.0%). Imagen achieved near gender parity (50.3% men) but remained predominantly White (51.5%). Statistically significant differences were observed across models and between models and real-world demographics. Conclusion Artificial intelligence text-to-image models reflect and amplify systemic biases, overrepresenting men and White leaders, while underrepresenting diversity. Ethical AI practices, including diverse training data sets and fairness-aware algorithms, are essential to ensure equitable representation in health care leadership."
2,2025,Personalised healthy food text recommendations through fuzzy linguistic variables: A generative AI-based approach,"Morales-Garzón, Andrea;Rojas-Carvajal, Ana;Morcillo-Jimenez, Roberto;Martin-Bautista, Maria;Gutiérrez-Batista, Karel;",Applied Soft Computing,"Food recommendation, Generative models, Prompt engineering, Natural language processing, Fuzzy logic",https://doi.org/10.1016/j.asoc.2025.113234,"Nutrition and healthy eating habits are fundamental for the global population. Nowadays, there is an increasing tendency to consume less healthy recipes and a low general knowledge of nutrition. In these terms, generative AI arises as a potential tool for health-aware food recommendations, especially when improving communication with the user. This study presents a pipeline to enrich prompts with fuzzy modelling to increase the quality of textual recommendations. We apply our pipeline to generate a personalised frequency of food consumption, considering both nutritional and individual profiles. This is an essential task for increasing the health-conscious recommendation systems. We conducted extensive experimentation across different roles and prompt strategies. We evaluated the quality of the text and the nutritional rigour of the text responses. Our results show that enriching prompts with fuzzy modelling of the nutritional information of the foods significantly improves the quality of the prompt responses."
3,2018,A hybrid data mining model for diagnosis of patients with clinical suspicion of dementia,"Moreira, Leonard;Namen, Anderson;",Computer Methods and Programs in Biomedicine,"Data mining, Text mining, Alzheimer's disease, Mild cognitive impairment, Medical diagnosis",https://doi.org/10.1016/j.cmpb.2018.08.016,"Background and Objective Given the phenomenon of aging population, dementias arise as a complex health problem throughout the world. Several methods of machine learning have been applied to the task of predicting dementias. Given its diagnostic complexity, the great challenge lies in distinguishing patients with some type of dementia from healthy people. Particularly in the early stages, the diagnosis positively impacts the quality of life of both the patient and the family. This work presents a hybrid data mining model, involving the mining of texts integrated to the mining of structured data. This model aims to assist specialists in the diagnosis of patients with clinical suspicion of dementia. Methods The experiments were conducted from a set of 605 medical records with 19 different attributes about patients with cognitive decline reports. Firstly, a new structured attribute was created from a text mining process. It was the result of clustering the patient's pathological history information stored in an unstructured textual attribute. Classification algorithms (naïve bayes, bayesian belief networks and decision trees) were applied to obtain Alzheimer's disease and mild cognitive impairment predictive models. Ensemble methods (Bagging, Boosting and Random Forests) were used in order to improve the accuracy of the generated models. These methods were applied in two datasets: one containing only the original structured data; the other containing the original structured data with the inclusion of the new attribute resulting from the text mining (hybrid model). Results The models’ accuracy metrics obtained from the two different datasets were compared. The results evidenced the greater effectiveness of the hybrid model in the diagnostic prediction for the pathologies of interest. Conclusions When analysing the different methods of classification and clustering used, the better rates related to the precision and sensitivity of the pathologies under study were obtained with hybrid models with support of ensemble methods."
4,2024,Patient privacy protection: Generating available medical treatment plans based on federated learning and CBR,"Xu, Bo;Zhang, Yu;Fan, Zhi-Ping;Han, Liang;Shen, Zi-Xin;",Information & Management,"Federated learning, Case-based reasoning, Patient privacy protection, Available medical treatment plan generation",https://doi.org/10.1016/j.im.2023.103908,"Although the favorable impact of sharing electronic medical records (EMRs) with other hospitals on improving clinical decision-making efficiency is widely acknowledged, the actual implementation of EMR sharing has been limited to some extent because of patient privacy protections. This study proposes a three-stage framework to retrieve medical treatment plans from multiple hospitals based on federated learning and case-based reasoning (CBR). We demonstrate that the proposed framework compensates for the privacy protection weaknesses of CBR and solves the problem of data islands among hospitals."
5,2025,"Decoding Digital Discourse Through Multimodal Text and Image Machine Learning Models to Classify Sentiment and Detect Hate Speech in Race- and Lesbian, Gay, Bisexual, Transgender, Queer, Intersex, and Asexual Community–Related Posts on Social Media: Quantitative Study","Nguyen, Thu;Yue, Xiaohe;Mane, Heran;Seelman, Kyle;Mullaputi, Penchala;Dennard, Elizabeth;Alibilli, Amrutha;Merchant, Junaid;Criss, Shaniece;Hswen, Yulin;Nguyen, Quynh;",Journal of Medical Internet Research,"multimodal machine learning, social media analysis, sentiment analysis, hate speech detection, cultural determinants of health, memes, public health, artificial intelligence, AI",https://doi.org/10.2196/72822,"Background A major challenge in sentiment analysis on social media is the increasing prevalence of image-based content, which integrates text and visuals to convey nuanced messages. Traditional text-based approaches have been widely used to assess public attitudes and beliefs; however, they often fail to fully capture the meaning of multimodal content where cultural, contextual, and visual elements play a significant role. Objective This study aims to provide practical guidance for collecting, processing, and analyzing social media data using multimodal machine learning models. Specifically, it focuses on training and fine-tuning models to classify sentiment and detect hate speech. Methods Social media data were collected from Facebook and Instagram using CrowdTangle, a public insights tool by Meta, and from X via its academic research application programming interface. The dataset was filtered to include only race-related terms and lesbian, gay, bisexual, transgender, queer, intersex, and asexual community–related posts with image attachments, ensuring focus on multimodal content. Human annotators labeled 13,000 posts into 4 categories: negative sentiment, positive sentiment, hate, or antihate. We evaluated unimodal (Bidirectional Encoder Representations from Transformers for text and Visual Geometry Group 16 for images) and multimodal (Contrastive Language-Image Pretraining [CLIP], Visual Bidirectional Encoder Representations from Transformers [VisualBERTs], and an intermediate fusion) models. To enhance model performance, the synthetic minority oversampling technique was applied to address class imbalances, and latent Dirichlet allocation was used to improve semantic representations. Results Our findings highlighted key differences in model performance. Among unimodal models, Bidirectional Encoder Representations from Transformer outperformed Visual Geometry Group 16, achieving higher accuracy and macro–F1-scores across all tasks. Among multimodal models, CLIP achieved the highest accuracy (0.86) in negative sentiment detection, followed by VisualBERT (0.84). For positive sentiment, VisualBERT outperformed other models with the highest accuracy (0.76). In hate speech detection, the intermediate fusion model demonstrated the highest accuracy (0.91) with a macro–F1-score of 0.64, ensuring balanced performance. Meanwhile, VisualBERT performed best in antihate classification, achieving an accuracy of 0.78. Applying latent Dirichlet allocation and the synthetic minority oversampling technique improved minority class detection, particularly for antihate content. Overall, the intermediate fusion model provided the most balanced performance across tasks, while CLIP excelled in accuracy-driven classifications. Although VisualBERT performed well in certain areas, it struggled to maintain a precision-recall balance. These results emphasized the effectiveness of multimodal approaches over unimodal models in analyzing social media sentiment. Conclusions This study contributes to the growing research on multimodal machine learning by demonstrating how advanced models, data augmentation techniques, and diverse datasets can enhance the analysis of social media content. The findings offer valuable insights for researchers, policy makers, and public health professionals seeking to leverage artificial intelligence for social media monitoring and addressing broader societal challenges."
6,2020,Predicting and analyzing injury severity: A machine learning-based approach using class-imbalanced proactive and reactive data,"Sarkar, Sobhan;Pramanik, Anima;Maiti, J.;Reniers, Genserik;",Safety Science,"Reactive and proactive data, Class-imbalance, Oversampling techniques, Classification algorithms, Injury severity prediction, Tolerance rough set approach (TRSA)",https://doi.org/10.1016/j.ssci.2020.104616,"Although the utility of the machine learning (ML) techniques is established in occupational accident domain using reactive data, its exploration in predicting injury severity using both reactive and proactive data is new. This necessitates the investigation of the significance of both types of data in prediction of injury severity using ML techniques. In addition, the unstructured texts, and class-imbalance in data often create difficulty in analysis. Therefore, to address the above-mentioned issues, two types of data, namely investigation report (i.e., reactive data) and inspection report (i.e., proactive data), collected from a steel plant, are used in this study. The datasets are merged together for generating mixed dataset. Topic modeling is used to handle the unstructured texts. A total of four oversampling algorithms, namely Synthetic Minority Over-sampling Technique (SMOTE), borderline SMOTE (BLSMOTE), Majority Weighted Minority Oversampling Technique (MWMOTE), and k-means SMOTE (KMSMOTE) have been used separately to handle the class imbalance issue. Thereafter, a set of six prediction algorithms, namely support vector machine, artificial neural network, Naíve Bayes, k-nearest neighbour, classification and regression tree analysis, and random forest have been used on reactive and mixed datasets separately for injury severity prediction. The results reveal that KMSMOTE performs better than others in balancing datasets and therefore, helps in achieving higher prediction in terms of average recall, F1-score and geometric mean. In addition, it is also statistically shown that prediction of injury severity is significantly higher using mixed dataset than reactive dataset only. Finally, a set of 19 crisp safety decision rules are generated using tolerance rough set approach (TRSA), which can explain the factors responsible for injury severity outcomes, namely ‘Fatal’, ‘Medical case’, and ‘First-aid’."
7,2023,What Does DALL-E 2 Know About Radiology?,"Adams, Lisa;Busch, Felix;Truhn, Daniel;Makowski, Marcus;Aerts, Hugo;Bressem, Keno;",Journal of Medical Internet Research,"DALL-E, creating images from text, image creation, image generation, transformer language model, machine learning, generative model, radiology, x-ray, artificial intelligence, medical imaging, text-to-image, diagnostic imaging",https://doi.org/10.2196/43110,"Generative models, such as DALL-E 2 (OpenAI), could represent promising future tools for image generation, augmentation, and manipulation for artificial intelligence research in radiology, provided that these models have sufficient medical domain knowledge. Herein, we show that DALL-E 2 has learned relevant representations of x-ray images, with promising capabilities in terms of zero-shot text-to-image generation of new images, the continuation of an image beyond its original boundaries, and the removal of elements; however, its capabilities for the generation of images with pathological abnormalities (eg, tumors, fractures, and inflammation) or computed tomography, magnetic resonance imaging, or ultrasound images are still limited. The use of generative models for augmenting and generating radiological data thus seems feasible, even if the further fine-tuning and adaptation of these models to their respective domains are required first."
8,2025,Fine-tuning Llama-2-13B with AI-generated medical diagnoses: A novel strategy for optimizing ICD coding in gynecologic oncology,"Liang, Yu-Ling;Chen, Chiu-Fan;Wu, Meng-Hsing;Hsu, Keng-Fu;Chang, Po-Ting;Chuang, Yuan-Jhe;Chen, Po-Fan;",Taiwanese Journal of Obstetrics and Gynecology,"LLM, Llama-2-13B, Fine-tuning, ICD10, Gynecologic oncology",https://doi.org/10.1016/j.tjog.2025.02.006,"Objective Given the substantial advancements in Large Language Models (LLMs), this study aimed to explore the effectiveness of using AI-generated medical diagnoses in the fine-tuning of the Llama-2 model, with the objective of optimizing the ICD10 coding process for gynecologic oncology. This study aimed to fine-tune the Llama-2-13B model using AI-generated diagnostic texts based on ICD10 descriptors, focusing on gynecologic oncology for initial validation. Materials and methods AI-generated diagnostic texts were rigorously confirmed to ensure medical coherence and reliability for fine-tuning. Four models were established: The original Llama-2-13B (Model 1); a model fine-tuned with basic ICD10 codes (Model 2); a model trained with an additional set of 10 AI-generated diagnosis statements per ICD10 code (Model 3); and the forth model trained with an additional set of 20 AI-generated statements per code (Model 4). Validation involved a set of 83 discharge records related to gynecologic oncology, derived from 2415 discharge records collected from January 1, 2020, and June 30, 2023. Results Validation results for the models showed significant improvement in the accuracy rates and Kappa scores: Model 1 (native Llama-2-13B) had an accuracy of 0.06 and a Kappa score of 0.04, Model 2 achieved 0.24 and 0.19, Model 3 reached 0.90 and 0.89, and Model 4 greatly improved to 0.95 and 0.94. Conclusion The use of prompts to generate diagnostic descriptions, coupled with AI-generated data for model fine-tuning, resulted in a substantial enhancement in the Llama-2-13B model’s capability to accurately determine ICD diagnostic codes from medical records. This methodology offers a cost-effective strategy, optimizes model accuracy, and underscores the potential for broader applications due to the LLM’s generative capabilities."
9,2025,"AI-generated content in cross-domain applications: Research trends, challenges and propositions","Li, Jianxin;Qu, Liang;Cai, Taotao;Zhao, Zhixue;{Al Hasan Haldar}, Nur;Krishna, Aneesh;Kong, Xiangjie;{Romero Macau}, Flavio;Chakraborty, Tanmoy;Deroy, Aniket;Lin, Binshan;Blackmore, Karen;Noman, Nasimul;Cheng, Jingxian;Cui, Ningning;Xu, Jianliang;",Knowledge-Based Systems,"Artificial intelligence generated content (AIGC), Generative AI, Large language models (LLMs), Content detection, Online marketing",https://doi.org/10.1016/j.knosys.2025.114634,"Artificial Intelligence Generated Content (AIGC) has rapidly emerged with the capability to generate different forms of content, including text, images, videos, and other modalities, which can achieve a quality similar to content created by humans. As a result, AIGC is now widely applied across various domains such as digital marketing, education, and public health, and has shown promising results by enhancing content creation efficiency and improving information delivery. However, there are few studies that explore the latest progress and emerging challenges of AIGC across different domains. To bridge this gap, this paper brings together 16 scholars from multiple disciplines to provide a cross-domain perspective on the trends and challenges of AIGC. Specifically, the contributions of this paper are threefold: (1) It first provides a broader overview of AIGC, spanning the training techniques of Generative AI, detection methods, and both the spread and use of AI-generated content across digital platforms. (2) It then introduces the societal impacts of AIGC across diverse domains, along with a review of existing methods employed in these contexts. (3) Finally, it discusses the key technical challenges and presents research propositions to guide future work. Through these contributions, this vision paper seeks to offer readers a cross-domain perspective on AIGC, providing insights into its current research trends, ongoing challenges, and future directions."
