,Year,Title,Authors,Journal,Keywords,DOI,Abstract
0,2024,MedT2T: An adaptive pointer constrain generating method for a new medical text-to-table task,"Zhao, Wang;Gu, Dongxiao;Yang, Xuejie;Jia, Meihuizi;Liang, Changyong;Wang, Xiaoyu;Zolotarev, Oleg;",Future Generation Computer Systems,"Medical text-to-table, Generative AI, AI-driven smart healthcare",https://doi.org/10.1016/j.future.2024.07.030,"Medical information extraction is a crucial task in the governance of healthcare data within medical information systems in the medical internet network, aimed at extracting vital information from existing content. However, structuring this key information into a table is currently a challenge, hindering the development of AI-driven smart health. In this study, we study the medical text-to-table task based on a new generative perspective. To address the challenges of ineffective numerical embedding, flexible table formats, and dense medical terminology and numerical entities in an end-to-end manner, we present the innovative medical text-to-table model called MedT2T. This model, built on the BART backbone, operates in an end-to-end manner and comprises three essential modules: Encoder, Decoder, and Adapter. The Encoder utilizes an innovative adaptive medical numerical constraint to facilitate precise embedding and generation of medical numerical data. The generated output of the Decoder adheres to relational constraints and table formats, ensuring the desired structure and organization. Additionally, the Adapter incorporates an adaptive pointer generation mechanism, allowing for dynamic referencing of medical terminology and numerical information either from the source text or generated through the vocabulary distribution of the Decoder. Our method outperforms existing baselines in terms of exact match, character level match, and BERTScore. We also proved that MedT2T can serve as an essential table extraction tool to bring informative gains for medical downstream classifiers and predictors. This study not only achieved accurate entity generation for tables from lengthy medical texts to improve physician efficiency in accessing critical information for decision-making, but also provided large-scale structured training table data for downstream tasks such as AI-driven smart healthcare."
1,2020,Academic electronic health records as a vehicle to augment the assessment of patient care skills in the didactic pharmacy curriculum,"VanLangen, Kali;Elder, Kimberly;Young, Mark;Sohn, Minji;",Currents in Pharmacy Teaching and Learning,"Electronic health records, Laboratory course, Virtual patient simulation, Pharmacy curriculum, Assessment",https://doi.org/10.1016/j.cptl.2020.04.004,"Introduction Standards 2016 state students must be “practice-ready” upon graduation and utilizing health information technology is one skill needed to ensure students are practice-ready. Incorporating academic electronic health records (EHRs) into the didactic pharmacy curriculum is one tool for preparing students to be practice-ready, but it is unclear if this technology is used to facilitate assessment of students' patient care skills. Methods A 35-question electronic survey was distributed to each school/college of pharmacy (S/COP) with questions focused on general use of EHRs and characterizing EHRs as a tool to assess students' patient care skills in the didactic curriculum. Aggregate, anonymous data was reported and analyzed using descriptive statistics. Results Fifty-nine survey responses were suitable for inclusion in the analysis (43.8% response rate). Of those, 37 S/COP (62.7%) used an EHR in the didactic curriculum. Frequently performed and assessed EHR functions were collecting information and documentation, and EHRs were most commonly utilized to assess students' abilities to perform the collect (96.9%) and assess (93.8%) steps of the Pharmacists' Patient Care Process. EHRs were perceived to be most effective in assessing the following Center for the Advancement of Pharmacy Education Educational Outcomes: patient-centered care (93.9%), problem solving (83.9%), and learner (80.6%). Conclusions Optimizing the use of EHRs in S/COP is critical. Determining which outcomes are best suited to be assessed utilizing this technology and the optimal method to do so is an appropriate next step."
2,2016,The lexeme hypotheses: Their use to generate highly grammatical and completely computerized medical records,"Macfarlane, Donald;",Medical Hypotheses,,https://doi.org/10.1016/j.mehy.2016.04.031,"Introduction Medical records often contain free text created by harried clinicians. Free text often contains errors which make it an unsuitable target for computerized data extraction. The cost of healthcare can be reduced by creating medical records that are fully computerized at their inception. We examine hypotheses that enable us to construct such records. Methods We regard the text of the medical record as being an ordered collection of meaningful fragments. The intellectual content (or “lexeme”) of each text fragment in the record is considered separately from the language that used to express it. We further consider that each lexeme exists as a combination of a lexeme query (defining the issue being addressed) and a lexeme response to that query. The medical record can then be perceived as a stream of these responses. The responses can be expressed in any style or language, including computer code. Examining medical records in this light gives rise to a number of observations and hypotheses. Observations and Hypotheses The physical location and nature of the medical episode (which we term “context”) determines the general layout of the record. The order that lexeme-queries are addressed in within the record is highly consistent (“coherence”). Issues are only addressed if they are logically called-for by the context or by a previously-selected lexeme response (“predicance”), and only to a needed depth of detail (“level”). We hypothesize that all of the lexeme queries required to write any clinical notes can be stored in a large database (“lexicon”) in coherence order, wherein each lexeme query is associated with its own collection of lexeme responses. We hypothesize that the issue a note-writer will need to address next is identifiable purely by using the rules of coherence, level and predicance. Testing the hypotheses and their utility We have tested these hypotheses with a computer program which repeatedly offers the user a menu of lexeme responses with associated text. On selection, the program issues the text fragment, and its corresponding computer code, to output files. The program then uses coherence, predicance and level to navigate to the next appropriate lexeme query for presentation to the user. The net result is that the user creates a grammatically correct and completely computerized note at the time of its inception. The value of this approach and its practical implementation to create medical records are discussed. In our work so far, the hypotheses appear not to be false, but further testing is needed using a larger lexicon to establish their robustness in actual clinical practice."
3,2025,An Experimentation for generating Text-based Medical Report from Chest X-Ray images using Attention based Deep Learning Models,"Rana, Jainil;Thakkar, Amit;Shah, Bela;",Procedia Computer Science,"X-Ray, Encoder-Decoder, Attention, CheXNet, spatial features, BiGRU",https://doi.org/10.1016/j.procs.2025.04.299,"This study investigates the efficacy of attention-based deep learning models for generating text-based medical reports from chest X-ray images. Four distinct models were developed and evaluated: a basic encoder-decoder model (Model 1), an encoder-decoder architecture using an attention mechanism (Model 2), a model incorporating spatial feature preservation (Model 3), and a model with a bidirectional GRU in the decoder (Model 4). We trained and evaluated these models using the Indiana University Chest X-ray dataset (Open-i), employing the BLEU score as the primary performance metric. Model 1, using a greedy search decoding strategy, achieved an average BLEU score of 0.619. Incorporating an attention mechanism in Model 2 resulted in a modest improvement, reaching a BLEU score of 0.667 with beam search decoding. Model 3, preserving spatial information during feature extraction, further enhanced performance, achieving a BLEU score of 0.718. Finally, Model 4, integrating a bidirectional GRU, yielded the highest performance with a BLEU score of 0.745. Our results highlight the significant impact of attention mechanisms and spatial feature preservation in generating more accurate and detailed medical reports. The study highlights the potential of deep learning models for automating medical report generation, paving the way for further research and development in this domain."
4,2017,Use of Simulation Based on an Electronic Health Records Environment to Evaluate the Structure and Accuracy of Notes Generated by Medical Scribes: Proof-of-Concept Study,"Pranaat, Robert;Mohan, Vishnu;O'Reilly, Megan;Hirsh, Maxwell;McGrath, Karess;Scholl, Gretchen;Woodcock, Deborah;Gold, Jeffrey;",JMIR Medical Informatics,"simulation training, documentation, electronic health record",https://doi.org/10.2196/medinform.7883,"Background The increasing adoption of electronic health records (EHRs) has been associated with a number of unintended negative consequences with provider efficiency and job satisfaction. To address this, there has been a dramatic increase in the use of medical scribes to perform many of the required EHR functions. Despite this rapid growth, little has been published on the training or assessment tools to appraise the safety and efficacy of scribe-related EHR activities. Given the number of reports documenting that other professional groups suffer from a number of performance errors in EHR interface and data gathering, scribes likely face similar challenges. This highlights the need for new assessment tools for medical scribes. Objective The objective of this study was to develop a virtual video-based simulation to demonstrate and quantify the variability and accuracy of scribes’ transcribed notes in the EHR. Methods From a pool of 8 scribes in one department, a total of 5 female scribes, intent on pursuing careers in health care, with at least 6 months of experience were recruited for our simulation study. We created three simulated patient-provider scenarios. Each scenario contained a corresponding medical record in our simulation instance of our EHR. For each scenario, we video-recorded a standardized patient-provider encounter. Five scribes with at least 6 months of experience both with our EHR and in the specialty of the simulated cases were recruited. Each scribe watched the simulated encounter and transcribed notes into a simulated EHR environment. Transcribed notes were evaluated for interscribe variability and compared with a gold standard for accuracy. Results All scribes completed all simulated cases. There was significant interscribe variability in note structure and content. Overall, only 26% of all data elements were unique to the scribe writing them. The term data element was used to define the individual pieces of data that scribes perceived from the simulation. Note length was determined by counting the number of words varied by 31%, 37%, and 57% between longest and shortest note between the three cases, and word economy ranged between 23% and 71%. Overall, there was a wide inter- and intrascribe variation in accuracy for each section of the notes with ranges from 50% to 76%, resulting in an overall positive predictive value for each note between 38% and 81%. Conclusions We created a high-fidelity, video-based EHR simulation, capable of assessing multiple performance indicators in medical scribes. In this cohort, we demonstrate significant variability both in terms of structure and accuracy in clinical documentation. This form of simulation can provide a valuable tool for future development of scribe curriculum and assessment of competency."
5,2025,Augmenting clinical communications between doctors and patient families through short text message updates – A Singapore healthcare experience,"Lee, Zhiquan;Lim, Huiling;Wee, Cadence;Kan, John;Wang, Chongyan;Tang, Kai;",Telematics and Informatics Reports,"Clinical communication, Digital health",https://doi.org/10.1016/j.teler.2024.100176,"Families play an integral role in the physical and emotional recovery of patients. Studies have shown the significant impact that family plays in the overall quality of care and patient experience. Effective communication between patients’ families and doctors is therefore a critical component of healthcare. Most healthcare institutions rely on a longstanding system of phone calls as the primary means of communication with families. However, this is often fraught with difficulties leading to insufficient updates, miscommunication, and grievances. This study aims to identify the shortcomings of current system of updating families and to test the feasibility of using one-way short text messages to augment clinical communication between families and doctors. The study was performed in two phases. The first phase was a survey of patients’ families and doctors to identify issues with current method of phone updates and obtain information about their perceptions and receptiveness towards text messages as a mode for patient's family updates. The second phase was a pilot trial using short text messages to update patients’ families. The survey showed that 69 % of doctors felt that current methods of updating families were too time consuming while 60 % of patients’ families felt they were not adequately updated by the medical team. Majority of doctors and family members surveyed were receptive to the use of one-way text updates to augment communication (84 % and 91 % respectively). The pilot trial showed an increase in the percentage of families that were updated at a frequency of a minimum of twice a week, from 55.6 % to 80 % of families. Family members reported that this allowed them to receive increased frequency of updates and gained a better understanding of their family member. We conclude that one-way short text messages is a promising and feasible way to augment the current system of updating families, and to improve overall quality of care."
6,2024,An Electronic Health Record-integrated Web Application Augments a QI-directed Morbidity & Mortality Conference and Improves Quality of Care,"Sajankila, Nitin;Javens, Thomas;Hampl, Josh;Coleman, Courtney;Murnane, Jami;Kenney, Brian;Besner, Gail;",Journal of Pediatric Surgery,"Morbidity and Mortality, M&M, Quality improvement, QI, Information Technology, System failure",https://doi.org/10.1016/j.jpedsurg.2024.02.009,"Background In 2014, we developed a QI-directed Morbidity and Mortality (M&M) Conference, prioritizing discussion of individual and system failures, as well as development of action items to prevent failure recurrence. However, due to a reliance on individual electronic documents to store M&M data, our ability to assess trends in failures and action item implementation was hindered. To address this issue, in 2019, we created a secure electronic health record (EHR)-integrated web application (web app) to store M&M data. Study design In this study, we assessed the impact of our web app on efficient review and tracking of M&M data, including system failure occurrence and closure of action items. Additionally, in 2021, it was discovered that a backlog of action items existed. To address this issue, we implemented a QI initiative to reduce the backlog, and used the web app to compare action item closure over time. Results Use of the web app dramatically improved review of M&M data. During the study period, there was a 67.0% reduction in the occurrence of the most common system failures. Additionally, our QI initiative resulted in a 97.7% reduction in the duration of time to complete a single action item and a 61.1% increase in the on-time closure rate for action items. Conclusions Integration of a web app into a QI-directed M&M Conference enhanced our ability to track system level failures and action item closure over time. Using this web app, we demonstrated that our M&M Conference achieved its intended goal of improving the quality of patient care. Level of Evidence IV."
7,2018,Exchanging personal health data with electronic health records: A standardized information model for patient generated health data and observations of daily living,"Plastiras, Panagiotis;O’Sullivan, Dympna;",International Journal of Medical Informatics,"HL7 CDA, Personal health record, Observations of daily living, Patient generated health data, Interoperability",https://doi.org/10.1016/j.ijmedinf.2018.10.006,"Objective: The development of a middleware information model to facilitate better interoperability between Personal and Electronic Health Record systems in order to allow exchange of Patient Generated Health Data and Observations of Daily Leaving between patients and providers in order to encourage patient self-management. Materials and methods: An information model based on HL7 standards for interoperability has been extended to support PGHD and ODL data types. The new information models uses HL7 CDA to represent data, is instantiated as a Protégé ontology and uses a set of mapping rules to transfer data between Personal and Electronic Health Record systems. Results: The information model was evaluated by executing a set of use case scenarios containing data exported from three consumer health apps, transformed to CDA according to developed mapping rules and validated against a CDA schema. This allowed various challenges to emerge as well as revealed gaps in current standards in use and the information model has been refined accordingly. Discussion and conclusion: Our proposed middleware solution offers a number of advantages. When modifications are made to either a Personal or Health Electronic Health Record system or any integrated consumer app, they can be incorporated by altering only the instantiation of the information model. Our proposition uses current standards in use such as CDA. The solution is applicable to any EHR system with HL7 CDA support."
8,2024,Exploring a learning-to-rank approach to enhance the Retrieval Augmented Generation (RAG)-based electronic medical records search engines,"Ye, Cheng;",Informatics and Health,"Retrieval Augmented Generation, Electronic medical records, Information retrieval, Large Language Model, Learning to rank",https://doi.org/10.1016/j.infoh.2024.07.001,"Background This study addresses the challenge of enhancing Retrieval Augmented Generation (RAG) search engines for electronic medical records (EMR) by learning users' distinct search semantics. The specific aim is to develop a learning-to-rank system that improves the accuracy and relevance of search results to support RAG-based search engines. Methods Given a prompt or search query, the system first asks the user to label a few randomly selected documents, which contain some keywords, as relevant to the prompt or not. The system then identifies relevant sentences and adjusts word similarities by updating a medical semantic embedding. New documents are ranked by the number of relevant sentences identified by the weighted embedding. Only the top-ranked documents and sentences are provided to a Large-Language-Model (LLM) to generate answers for further review. Findings To evaluate our approach, four medical researchers labeled documents based on their relevance to specific diseases. We measured the information retrieval performance of our approach and two baseline methods. Results show that our approach achieved at least a 0.60 Precision-at-10 (P @ 10) score with only ten positive labels, outperforming the baseline methods. In our pilot study, we demonstrate that the learned semantic preference can transfer to the analysis of unseen datasets, boosting the accuracy of an RAG model in extracting and explaining cancer progression diagnoses from 0.14 to 0.50. Interpretation This study demonstrates that a customized learning-to-rank method can enhance state-of-the-art natural language models, such as LLMs, by quickly adapting to users' semantics. This approach supports EMR document retrieval and helps RAG models generate clinically meaningful answers to specific questions, underscoring the potential of user-tailored learning-to-rank methods in clinical practice."
9,2024,Applying generative AI with retrieval augmented generation to summarize and extract key clinical information from electronic health records,"Alkhalaf, Mohammad;Yu, Ping;Yin, Mengyang;Deng, Chao;",Journal of Biomedical Informatics,"Generative AI, Nursing notes, LLAMA, Malnutrition, Summarization, RAG",https://doi.org/10.1016/j.jbi.2024.104662,"Background Malnutrition is a prevalent issue in aged care facilities (RACFs), leading to adverse health outcomes. The ability to efficiently extract key clinical information from a large volume of data in electronic health records (EHR) can improve understanding about the extent of the problem and developing effective interventions. This research aimed to test the efficacy of zero-shot prompt engineering applied to generative artificial intelligence (AI) models on their own and in combination with retrieval augmented generation (RAG), for the automating tasks of summarizing both structured and unstructured data in EHR and extracting important malnutrition information. Methodology We utilized Llama 2 13B model with zero-shot prompting. The dataset comprises unstructured and structured EHRs related to malnutrition management in 40 Australian RACFs. We employed zero-shot learning to the model alone first, then combined it with RAG to accomplish two tasks: generate structured summaries about the nutritional status of a client and extract key information about malnutrition risk factors. We utilized 25 notes in the first task and 1,399 in the second task. We evaluated the model’s output of each task manually against a gold standard dataset. Result The evaluation outcomes indicated that zero-shot learning applied to generative AI model is highly effective in summarizing and extracting information about nutritional status of RACFs’ clients. The generated summaries provided concise and accurate representation of the original data with an overall accuracy of 93.25%. The addition of RAG improved the summarization process, leading to a 6% increase and achieving an accuracy of 99.25%. The model also proved its capability in extracting risk factors with an accuracy of 90%. However, adding RAG did not further improve accuracy in this task. Overall, the model has shown a robust performance when information was explicitly stated in the notes; however, it could encounter hallucination limitations, particularly when details were not explicitly provided. Conclusion This study demonstrates the high performance and limitations of applying zero-shot learning to generative AI models to automatic generation of structured summarization of EHRs data and extracting key clinical information. The inclusion of the RAG approach improved the model performance and mitigated the hallucination problem."
