"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Document Type","Publication Stage","Open Access","Source","EID"
"Rabaey, P.; Heytens, S.; Demeester, T.","Rabaey, Paloma (57666161100); Heytens, Stefan A. (6506911431); Demeester, Thomas (35415697600)","57666161100; 6506911431; 35415697600","SimSUM – simulated benchmark with structured and unstructured medical records","2025","Journal of Biomedical Semantics","16","1","20","","","0","10.1186/s13326-025-00341-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105025239953&doi=10.1186%2Fs13326-025-00341-6&partnerID=40&md5=e083c2527858a8ee532b19056448fb4f","Background: Clinical information extraction, which involves structuring clinical concepts from unstructured medical text, remains a challenging problem that could benefit from the inclusion of tabular background information available in electronic health records. Existing open-source datasets lack explicit links between structured features and clinical concepts in the text, motivating the need for a new research dataset. Methods: We introduce SimSUM a benchmark dataset of 10,000 simulated patient records that link unstructured clinical notes with structured background variables. Each record simulates a patient encounter in the domain of respiratory diseases and includes tabular data (e.g., symptoms, diagnoses, underlying conditions) generated from a Bayesian network whose structure and parameters are defined by domain experts. A large language model (GPT-4o) is prompted to generate a clinical note describing the encounter, including symptoms and relevant context. These notes are annotated with span-level symptom mentions. We conduct an expert evaluation to assess note quality and run baseline predictive models on both the tabular and textual data. Conclusion: The SimSUM dataset is primarily designed to support research on clinical information extraction in the presence of tabular background variables, which can be linked through domain knowledge to concepts of interest to be extracted from the text—namely, symptoms in the case of SimSUM. Secondary uses include research on the automation of clinical reasoning over both tabular data and text, causal effect estimation in the presence of tabular and/or textual confounders, and multi-modal synthetic data generation. SimSUM is not intended for training clinical decision support systems or production-grade models, but rather to facilitate reproducible research in a simplified and controlled setting. The dataset is available at https://github.com/prabaey/SimSUM. © The Author(s) 2025.","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Final Open Access; Green Open Access","Scopus","2-s2.0-105025239953"
"Soffer, S.; Omar, M.; Gendler, M.; Glicksberg, B.S.; Kovatch, P.; Efros, O.; Freeman, R.; Charney, A.W.; Nadkarni, G.N.; Klang, E.","Soffer, Shelly (57190729426); Omar, Mahmud (59577727200); Gendler, Moran (59403193400); Glicksberg, Benjamin S. (55845627200); Kovatch, Patricia (8978099000); Efros, Orly (56055817000); Freeman, Robert M. (57215489886); Charney, Alexander W. (25637186200); Nadkarni, Girish Nitin (36237038500); Klang, Eyal (56080228800)","57190729426; 59577727200; 59403193400; 55845627200; 8978099000; 56055817000; 57215489886; 25637186200; 36237038500; 56080228800","A scalable framework for benchmark embedding models in semantic health-care tasks","2025","Journal of the American Medical Informatics Association","32","12","","1877","1887","0","10.1093/jamia/ocaf149","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105023120897&doi=10.1093%2Fjamia%2Focaf149&partnerID=40&md5=c9c85bec09c20718080e09c091a64913","Objectives. Text embeddings are promising for semantic tasks, such as retrieval augmented generation (RAG). However, their application in health care is underexplored due to a lack of benchmarking methods. We introduce a scalable benchmarking method to test embeddings for health-care semantic tasks. Materials and Methods. We evaluated 39 embedding models across 7 medical semantic similarity tasks using diverse datasets. These datasets comprised real-world patient data (from the Mount Sinai Health System and MIMIC IV), biomedical texts from PubMed, and synthetic data generated with Llama-3-70b. We first assessed semantic textual similarity (STS) by correlating the model-generated similarity scores with noise levels using Spearman rank correlation. We then reframed the same tasks as retrieval problems, evaluated by mean reciprocal rank and recall at k. Results. In total, evaluating 2000 text pairs per 7 tasks for STS and retrieval yielded 3.28 million model assessments. Larger models (>7b parameters), such as those based on Mistral-7b and Gemma-2-9b, consistently performed well, especially in long-context tasks. The NV-Embed-v1 model (7b parameters), although top in short tasks, underperformed in long tasks. For short tasks, smaller models such as b1ade-embed (335M parameters) performed on-par to the larger models. For long retrieval tasks, the larger models significantly outperformed the smaller ones. Discussion. The proposed benchmarking framework demonstrates scalability and flexibility, offering a structured approach to guide the selection of embedding models for a wide range of health-care tasks. Conclusion. By matching the appropriate model with the task, the framework enables more effective deployment of embedding models, enhancing critical applications such as semantic search and retrieval-augmented generation (RAG). © The Author(s) 2025. Published by Oxford University Press on behalf of the American Medical Informatics Association. All rights reserved.","Article","Final","","Scopus","2-s2.0-105023120897"
"Saxena, A.; Aggarwal, D.; Badathala, N.; Bhattacharyya, P.","Saxena, Ashita (58847127500); Aggarwal, Dishank (59918713100); Badathala, Naveen (58345040400); Bhattacharyya, Pushpak (7101803108)","58847127500; 59918713100; 58345040400; 7101803108","A framework to synthetically generate fine-grained hallucinated data","2025","Language Resources and Evaluation","59","4","","4223","4252","0","10.1007/s10579-025-09864-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105018071481&doi=10.1007%2Fs10579-025-09864-x&partnerID=40&md5=902cbd6107d3ede7e3768f63dc1361db","The emergence of large language models (LLMs) has transformed natural language processing (NLP), enabling significant advances in text generation and comprehension. However, LLMs often produce hallucinated content-text that is unverifiable, incorrect, or inconsistent with the input-which is especially problematic in high-stakes domains like medicine, law, and finance. While prior research has examined hallucinations in isolated tasks or models, a systematic, fine-grained understanding of hallucination types across critical domains remains lacking. In this work, we develop a methodology to synthetically generate hallucinated question-answer instances categorized into five distinct types: Factual Inconsistency, Factual Fabrication, Logical Inconsistency, Instruction Inconsistency, and Context Inconsistency. To enable this, we construct a benchmark dataset comprising 52,646 hallucinated instances from the medical, legal, and finance domains, using domain-specific datasets (MedQuAD, LegalQAv1, FIQA) for four hallucination types, and datasets with explicit context (CUAD-QA, PubMedQA) for context inconsistency. We evaluate multiple open- and closed-source LLMs on hallucination detection, finding that off-the-shelf models struggle to accurately detect hallucinated content. Fine-tuning LLMs on our dataset leads to significant performance improvements, boosting detection accuracy by 15.8%, 11.4%, and 11.6% in the medical, legal, and finance domains respectively. Our results highlight the importance of structured hallucination training data for building more reliable LLM-based systems. © The Author(s) 2025.","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105018071481"
"Islayem, R.; Gebreab, S.; Al Khader, W.; Musamih, A.; Salah, K.; Jayaraman, R.; Khan, M.K.","Islayem, Ruba (59148286200); Gebreab, Senay A. (58018368200); Al Khader, Walaa (57870895600); Musamih, Ahmad (57221605913); Salah, Khaled H. (35617663600); Jayaraman, Raja (14520494400); Khan, Muhammad Khurram (58203013200)","59148286200; 58018368200; 57870895600; 57221605913; 35617663600; 14520494400; 58203013200","Using large language models for enhanced fraud analysis and detection in blockchain based health insurance claims","2025","Scientific Reports","15","1","29763","","","1","10.1038/s41598-025-15676-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105013462707&doi=10.1038%2Fs41598-025-15676-4&partnerID=40&md5=291fad3cc63023f91be07f12c0c28c98","Traditional health insurance claim processing systems are plagued by inefficiencies and vulnerabilities, often resulting in significant financial losses due to fraudulent activities. Existing fraud detection methods are largely manual, time-consuming, and inadequate for handling the complexity and scale of modern fraudulent schemes. Moreover, the trust-based relationships between insurers and healthcare providers lack mechanisms to ensure data integrity and prevent manipulation. While several blockchain-based systems have been proposed to improve transparency and tamper resistance, they typically focus on structured data and predefined fraud types, offering limited adaptability and analytical insight. This paper proposes a novel solution leveraging blockchain technology and Large Language Models (LLMs) to transform fraud detection. The system uses Ethereum smart contracts (SCs) to securely store medical records and claim details on a decentralized, tamper-proof ledger that ensures data integrity, traceability, and accountability. This immutable data is accessed by an LLM via a Retrieval-Augmented Generation (RAG) system, which enables intelligent retrieval and analysis of relevant clinical information to detect fraud patterns and inconsistencies. To support complex scenarios involving free-text documents, unstructured clinical data, such as lab reports, are stored using decentralized off-chain storage and retrieved during LLM analysis. In addition, an LLM-powered chatbot also allows insurance providers to interact with the system in natural language for claim inquiries, explanations, and summaries. The architecture, sequence diagrams, and implementation algorithms outline the development process, while testing scenarios demonstrate the system’s ability to detect fraud such as inflated costs, unnecessary treatments, and unrendered services. Evaluation using both synthetic and public clinical datasets showed strong performance, with the LLM achieving up to 99% fraud detection accuracy. Cost, security, and scalability analyses confirm the system’s practicality and resilience, with the complete detection process executing in just 13 seconds. By overcoming the limitations of traditional systems, this framework offers a scalable and adaptable approach for healthcare and other domains. The SCs and source code are publicly available on GitHub. © The Author(s) 2025.","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105013462707"
"Liu, Y.; Zhang, J.; Wen, S.; Shen, T.","Liu, Yingli (55763653100); Zhang, Jinyu (60242629600); Wen, Shaojie (58919521300); Shen, Tao (57203855506)","55763653100; 60242629600; 58919521300; 57203855506","Prototype-based continuous complex relation extraction network model; 基于原型表示的持续复杂关系抽取网络模型","2025","Qinghua Daxue Xuebao/Journal of Tsinghua University","65","11","","2245","2258","0","10.16511/j.cnki.qhdxxb.2025.21.035","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105025039635&doi=10.16511%2Fj.cnki.qhdxxb.2025.21.035&partnerID=40&md5=ec4ab6ab89e1b3cd1b18505ed78adff6","[Objective] Existing methods for continuous relation extraction (CRE) face remarkable challenges in complex Chinese semantic environments, particularly the problem of catastrophic forgetting when learning new tasks while retaining knowledge from old tasks. Traditional approaches often retrain models on a combination of historical and new data, leading to inefficiencies and resource constraints as data volumes increase. To address these limitations, this study aims to develop a robust CRE model that can efficiently learn new knowledge while preserving historical relationships, even in scenarios with complex sentence structures, overlapping entities, and imbalanced data distributions. The proposed model integrates prototype representations, memory replay strategies, and contrastive learning to enhance feature discrimination and stability in embedding spaces, thereby improving the classification performance across single-domain and cross-domain datasets. [Methods] The proposed prototype-based continuous complex relation extraction network (PBCRE-Net) model consists of two primary stages: Initial training and memory replay, designed to mitigate catastrophic forgetting and improve adaptability in dynamic learning environments. The initial training includes: 1) Entity-aware feature extraction: Input texts are processed using a pretrained BERT model to generate contextual embeddings with special tokens ([E11], [E12], [E21], and [E22]) that mark entity boundaries. 2) Supervised contrastive learning: A dual-head classifier (classification and contrast) is employed to minimize intraclass distances and maximize interclass distances in the embedding space. This objective is achieved through a combination of cross-entropy loss and contrastive loss. 3) Prototype generation: For each relation category, representative samples are selected via K-means clustering and their prototypes are computed as weighted averages of cluster centroids to capture category-specific features. The memory replay includes: 1) Memory sample selection: Memory modules store exemplars from previous tasks using K-means clustering. Weights are assigned based on cluster distribution to balance sampling during replay. 2) Memory augmentation: To prevent overfitting, synthetic samples are generated by swapping entity pairs or appending unrelated sentences to existing exemplars, thereby expanding the memory pool. 3) Consistency Loss: During replay, an embedding consistency constraint is applied to maintain stability in the embedding space across tasks. 4) Joint optimization: The model is trained on a mixture of new task data, historical memory samples, and augmented samples, combining cross-entropy loss and consistency loss. [Results] Experimental evaluations on CMeIE (medical domain) and ASaRED (alloy domain) datasets demonstrate the superiority of PBCRE-Net in complex CRE scenarios. Single-domain Performance: On the CMeIE dataset, PBCRE-Net achieved an average accuracy (ACC) of 84.27% and a macro F1-score (Macro-F1) of 81.93% across 10 incremental tasks. Notably, the proposed model outperformed baseline models, such as EMAR and CRL, by 3% 5% in subsequent tasks (T8—T10), where catastrophic forgetting is highly severe. The model effectively handled triplet overlap (e.g., entity-pair and single-entity overlaps) and class imbalance, an objective accomplished through prototype-based contrastive learning and memory augmentation. Cross-domain adaptability: In cross-domain experiments combining CMeIE and ASaRED, PBCRE-Net maintained an ACC of 74.16% and Macro F1 of 69.34% across 10 tasks, considerably surpassing competing models (e.g., CRECL and DPCRE). The memory replay mechanism and consistency loss ensured stable embedding spaces despite domain shifts, thus reducing catastrophic forgetting in critical relation categories like material composition and alloy property. Robustness to memory constraints: Reducing the memory size from 20 to 5 samples per task decreased the performance of the proposed model by 15%, yet PBCRE-Net outperformed the alternatives under constrained memory conditions. This highlights its efficiency in real-world scenarios with limited storage. [Conclusions] This study introduces PBCRE-Net, a novel CRE framework that mitigates catastrophic forgetting through prototype representations, memory replay, and contrastive learning. Key contributions include a supervised contrastive learning strategy to enhance feature discriminability in complex semantics and a memory augmentation mechanism to mitigate overfitting and stabilize embedding spaces. Superior performance in single-domain and cross-domain CRE tasks was validated by extensive experiments. Future work will extend PBCRE-Net to multilingual settings via cross-lingual transfer learning and incorporate physical constraints to improve relation extraction accuracy in scientific domains. In addition, addressing polysemy through semantic alignment techniques will further enhance the applicability of PBCRE-Net. © 2025, Tsinghua University. All rights reserved.","Article","Final","","Scopus","2-s2.0-105025039635"
"Keerthana, G.; Gupta, M.","Keerthana, Garapati (60076329400); Gupta, Manik (57756887900)","60076329400; 57756887900","TriMedPrompt: A unified prompting framework for realistic and layout-conformant clinical progress note synthesis","2025","Journal of Biomedical Informatics","171","","104927","","","0","10.1016/j.jbi.2025.104927","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105020582851&doi=10.1016%2Fj.jbi.2025.104927&partnerID=40&md5=fcf9dd4af1df48f9390c89045153129e","Clinical progress notes are critical artifacts for modeling patient trajectories, auditing clinical decision-making, and powering downstream applications in clinical natural language processing (NLP). However, public resources such as MIMIC-III provide limited progress notes, constraining the development of robust and generalizable machine learning models. This work proposes a novel hybrid prompting framework — TriMedPrompt — to generate high-quality, structurally and semantically coherent synthetic progress notes using large language models (LLMs). Our approach conditions the LLMs on a triad of complementary biomedical signals: (1) real-world progress notes from MIMIC-III, (2) clinically aligned case reports from the PMC Patients dataset, selected via embedding-based retrieval, and (3) structured disease-centric knowledge from PrimeKG. We design a multi-source, layout-aware prompting pipeline that dynamically integrates structured and unstructured information to produce notes across standard clinical formats (e.g., SOAP, BIRP, PIE, DAP). Through rigorous evaluations—including layout adherence, entity extraction comparisons, semantic similarity analysis, and controlled ablations, we demonstrate that our generated notes achieve a 98.6% semantic entity alignment score with real clinical notes, while maintaining high structural fidelity. Ablation studies further confirm the critical role of combining structured biomedical knowledge and unstructured narrative data in improving note quality. In addition, we illustrate the potential of our synthetic notes in privacy-preserving clinical NLP, offering a safe alternative for model development and benchmarking in sensitive healthcare settings. This work establishes a scalable, controllable paradigm for clinical text synthesis, significantly expanding access to realistic, diverse progress notes and laying the foundation for advancing trustworthy clinical NLP research. © 2025 Elsevier Inc.","Article","Final","","Scopus","2-s2.0-105020582851"
"Ronan, I.; Crowley, P.; Rombouts, E.; Cornally, N.; Saab, M.M.; Murphy, D.; Tabirca, S.","Ronan, Isabel (59253939900); Crowley, Patrice (59254391400); Rombouts, Eva (60155730100); Cornally, Nicola (36982904800); Saab, Mohamad M. (57110087300); Murphy, David (55457831400); Tabirca, Sabin S. (8652016100)","59253939900; 59254391400; 60155730100; 36982904800; 57110087300; 55457831400; 8652016100","A LangChain-based pipeline for one-shot synthetic text generation using generative pre-trained transformers in palliative care research","2025","Journal of Biomedical Informatics","171","","104936","","","0","10.1016/j.jbi.2025.104936","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105019762921&doi=10.1016%2Fj.jbi.2025.104936&partnerID=40&md5=13248e12d6659a5ffddba3431a0fc804","As the world’s population ages, nursing homes are of increasing importance. In order to care for a growing number of older adults, intelligent technologies are needed. Artificial Intelligence can be utilised to enhance palliative care in nursing homes. However, the data needed to train artificially intelligent agents is lacking within this sensitive domain due to privacy issues. Therefore, it is difficult for researchers to develop technological solutions. With the advent of large language models, such as ChatGPT, new text generation methods are made possible using limited data. In this pilot study, we investigate the use of large language models to generate synthetic data. We investigate the feasibility of using GPT-3.5 and GPT-4o models along with one-shot prompting to produce synthetic nurse notes which faithfully describe nursing home residents with met or unmet palliative care needs. We used LangChain to create a repeatable pipeline which can be adapted to different use-cases. We also compare the performance of both models using a set of qualitative and quantitative evaluations to determine which set of notes is more suitable for subsequent research. GPT-3.5 performed slightly better than GPT-4o in our qualitative healthcare professional analysis. Quantitative analysis revealed appropriately heterogenous results across contextual similarity, lexical overlap, sentiment, and readability scores. Our work is the first investigation of such a generation method in the nursing home palliative care domain. Further refinement and validation of such data is needed in order to ensure the safe use of our approach. © 2025 Elsevier Inc.","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105019762921"
"Fathima, N.; Kavitha, K.","Fathima, Nasreen (60241764500); Kavitha, Ganesh (57211301081)","60241764500; 57211301081","Clinical Text Augmentation and Generation Using RAG for Large Language Models","2025","Annals of Emerging Technologies in Computing","9","5","","61","70","0","10.33166/AETiC.2025.05.005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105024937130&doi=10.33166%2FAETiC.2025.05.005&partnerID=40&md5=48bf6642592244a3241ee14a7ba918a5","Large Language Models (LLM) are becoming more essential in clinical text generation, where use of synthetic medical data is environmentally accurate and applicable for real-world healthcare applications. Existing LLMs often lack in specialized optimization and clarity, leading to incorrect outputs. These restrictions can make their references unreliable, particularly for sensitive clinical data. To overcome these problems, this research work suggests integrating generative adversarial networks with LLM to improve clinical data accuracy and reduce hallucinations. LLMs like LLaMA, BERT and GPT are broadly used in clinical settings for tasks such as summarizing patient notes and answering medical queries. Generative Adversarial Networks (GANs) are used to generate realistic synthetic clinical data, aiding privacy and data augmentation. The LDA model is added with GAN to identify the underlying topics in clinical documents, ensuring the synthetic text is coherent and thematically relevant. The use of Retrieval Augmented Generation (RAG) dynamically retrieves current medical knowledge and provides grounding responses with real-time evidence and minimizes outdated information. The first phase focuses on generating and validating synthetic clinical data using GANs and LDA to ensure high quality and domain alignment; the second phase focus on user interaction, where RAG retrieves relevant information in real time to answer queries, and an interactive interface enables seamless engagement and feedback. Continuous evaluation of NLP metrics demonstrates that the proposed Clinical Augmentation Generation and Retrieval Augmented Generation (CAG-RAG) framework outperforms the existing DALL-M approach in generating synthetic clinical text. For diagnosis-related data, the proposed CAG-RAG method achieves improvements of 15.7% in BLEU, 17% in ROUGE-1, and 17% in ROUGE-L scores. For medication-related data, the improvements were 20.8% in BLEU, 17.1% in ROUGE-1, and 17.25% in ROUGE-L. These results highlight the reliability, adaptability, and contextual accuracy for clinical applications. © 2025 by the author(s)","Article","Final","","Scopus","2-s2.0-105024937130"
"Grazhdanski, G.; Vasilev, V.; Vassileva, S.; Taskov, D.; Antova, I.; Koychev, I.; Boytcheva, S.","Grazhdanski, Georgi (58674358200); Vasilev, Vasil (60099912400); Vassileva, Sylvia (57220206492); Taskov, Dimitar (58349378200); Antova, Izabel (60099873800); Koychev, Ivan Kolev (57189612891); Boytcheva, Svetla (8075484100)","58674358200; 60099912400; 57220206492; 58349378200; 60099873800; 57189612891; 8075484100","SynthMedic: Utilizing large language models for synthetic discharge summary generation, correction and validation","2025","Journal of Biomedical Informatics","170","","104906","","","0","10.1016/j.jbi.2025.104906","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105015950159&doi=10.1016%2Fj.jbi.2025.104906&partnerID=40&md5=538757c9bb5d94e37ce2028c41eced35","Background and Objective: Synthetic clinical texts can improve transparency and reduce bias and costs when training and evaluating specialized language models in the medical domain. Synthetic texts are freely shareable, as they contain no real patient information, and can be customized for a specific task. The objective of this study is to develop a methodology for generating, validating, and correcting synthetic discharge summaries using LLMs without requiring any real patient data. Methods: The proposed approach uses an LLM to generate synthetic discharge summaries for specific diseases and standard medical references from Merck Manuals to ground the generation in internationally accepted medical practices. We validate the generated summaries using LLMs as well as by human expert validation. In addition, we propose a method for automatic correction of the generated discharge summaries using Knowledge Graphs to ensure medical factual correctness. Results: The conducted human expert evaluation shows that the generated synthetic discharge summaries are credible and factually accurate when provided with the medical reference context. The generated summaries achieve a System Usability Score of 94.35% based on a comprehensive rubric evaluated by medical professionals and a score of 93.65% on the Faithfulness metric evaluated by an LLM. Conclusions: The proposed methodology can be utilized to generate high-quality synthetic discharge summaries for various diseases. The generated synthetic corpus consists of 900 discharge summaries in English representing nine socially significant diseases and is publicly available under an open license. The community can take advantage of the corpus and proposed methodology to train complex machine learning models, helping medical professionals in their daily work without using real patient data. © 2025 The Authors","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105015950159"
"Freise, N.; Heitlinger, M.; Nuredini, R.; Meixner, G.","Freise, Nina (59638457800); Heitlinger, Marius (59636134800); Nuredini, Ruben (57207795944); Meixner, Gerrit (23473924200)","59638457800; 59636134800; 57207795944; 23473924200","The Role of Domain-Specific Models for Synthetic Data Generation with Iterative Prompt Optimization","2025","Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference","2025","","","1","7","0","10.1109/EMBC58623.2025.11252935","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105023715328&doi=10.1109%2FEMBC58623.2025.11252935&partnerID=40&md5=732ffd48ee2f38f6cf3249dafa5c1194","Synthetic data generation is essential for addressing data scarcity and privacy constraints in medical AI. Large language models (LLMs) can be used to generate medical texts, but their output quality depends on the prompting approach. This study investigates the effectiveness of integrating specialized medical terminology-focused LLMs with IPROPS - an iterative prompt refinement framework - for the task of generating cardiology discharge letters. We fine-tune Llama on German medical texts and compare its performance to an untuned baseline. Our findings indicate that utilizing the fine-tuned model enhances coherence and domain specificity while iterative prompt refinement significantly reduces the performance gap and can be considered as a viable alternative to fine-tuning. A Turing test with physicians confirms that, while synthetic discharge letters achieve high realism, they remain distinguishable from real samples.Code: github.com/UniTylab-HHN/IPROPS-Advanced.","Article","Final","","Scopus","2-s2.0-105023715328"
