"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Document Type","Publication Stage","Open Access","Source","EID"
"Hartman, V.; Zhang, X.; Poddar, R.; McCarty, M.; Fortenko, A.; Sholle, E.; Sharma, R.; Campion, T.; Steel, P.A.D.","Hartman, Vince C. (57813778000); Zhang, Xinyuan (59464566100); Poddar, Ritika (58236769000); McCarty, Matthew (56659168100); Fortenko, Alexander (57203517815); Sholle, Evan T. (57202978780); Sharma, Rahul (35243386800); Campion, Thomas R. (8432457900); Steel, Peter A.D. (57189349595)","57813778000; 59464566100; 58236769000; 56659168100; 57203517815; 57202978780; 35243386800; 8432457900; 57189349595","Developing and Evaluating Large Language Model-Generated Emergency Medicine Handoff Notes","2024","JAMA Network Open","7","12","e2448723","","","25","10.1001/jamanetworkopen.2024.48723","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85211418758&doi=10.1001%2Fjamanetworkopen.2024.48723&partnerID=40&md5=6a3ed00c4477315207a823fee637b94b","Importance: An emergency medicine (EM) handoff note generated by a large language model (LLM) has the potential to reduce physician documentation burden without compromising the safety of EM-To-inpatient (IP) handoffs. Objective: To develop LLM-generated EM-To-IP handoff notes and evaluate their accuracy and safety compared with physician-written notes. Design, Setting, and Participants: This cohort study used EM patient medical records with acute hospital admissions that occurred in 2023 at NewYork-Presbyterian/Weill Cornell Medical Center. A customized clinical LLM pipeline was trained, tested, and evaluated to generate templated EM-To-IP handoff notes. Using both conventional automated methods (ie, recall-oriented understudy for gisting evaluation [ROUGE], bidirectional encoder representations from transformers score [BERTScore], and source chunking approach for large-scale inconsistency evaluation [SCALE]) and a novel patient safety-focused framework, LLM-generated handoff notes vs physician-written notes were compared. Data were analyzed from October 2023 to March 2024. Exposure: LLM-generated EM handoff notes. Main Outcomes and Measures: LLM-generated handoff notes were evaluated for (1) lexical similarity with respect to physician-written notes using ROUGE and BERTScore; (2) fidelity with respect to source notes using SCALE; and (3) readability, completeness, curation, correctness, usefulness, and implications for patient safety using a novel framework. Results: In this study of 1600 EM patient records (832 [52%] female and mean [SD] age of 59.9 [18.9] years), LLM-generated handoff notes, compared with physician-written ones, had higher ROUGE (0.322 vs 0.088), BERTScore (0.859 vs 0.796), and SCALE scores (0.691 vs 0.456), indicating the LLM-generated summaries exhibited greater similarity and more detail. As reviewed by 3 board-certified EM physicians, a subsample of 50 LLM-generated summaries had a mean (SD) usefulness score of 4.04 (0.86) out of 5 (compared with 4.36 [0.71] for physician-written) and mean (SD) patient safety scores of 4.06 (0.86) out of 5 (compared with 4.50 [0.56] for physician-written). None of the LLM-generated summaries were classified as a critical patient safety risk. Conclusions and Relevance: In this cohort study of 1600 EM patient medical records, LLM-generated EM-To-IP handoff notes were determined superior compared with physician-written summaries via conventional automated evaluation methods, but marginally inferior in usefulness and safety via a novel evaluation framework. This study suggests the importance of a physician-in-loop implementation design for this model and demonstrates an effective strategy to measure preimplementation patient safety of LLM models. © 2024 Hartman V et al. JAMA Network Open.","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85211418758"
"Currie, G.; Hewis, J.; Hawk, E.; Rohren, E.","Currie, Geoffrey Michael (7102239066); Hewis, Johnathan D. (55904312200); Hawk, Elizabeth (59469871700); Rohren, Eric M. (6603434908)","7102239066; 55904312200; 59469871700; 6603434908","Gender and Ethnicity Bias of Text-to-Image Generative Artificial Intelligence in Medical Imaging, Part 1: Preliminary Evaluation","2024","Journal of Nuclear Medicine Technology","52","4","","356","359","5","10.2967/jnmt.124.268332","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85211830034&doi=10.2967%2Fjnmt.124.268332&partnerID=40&md5=61c3af765f906c20c7ed4925fe29c5ef","Generative artificial intelligence (AI) text-to-image production could reinforce or amplify gender and ethnicity biases. Several text-to-image generative AI tools are used for producing images that represent the medical imaging professions. White male stereotyping and masculine cultures can dissuade women and ethnically divergent people from being drawn into a profession. Methods: In March 2024, DALL-E 3, Firefly 2, Stable Diffusion 2.1, and Midjourney 5.2 were utilized to generate a series of individual and group images of medical imaging professionals: radiologist, nuclear medicine physician, radiographer, and nuclear medicine technologist. Multiple iterations of images were generated using a variety of prompts. Collectively, 184 images were produced for evaluation of 391 characters. All images were independently analyzed by 3 reviewers for apparent gender and skin tone. Results: Collectively (individual and group characters) (n 5 391), 60.6% were male and 87.7% were of a light skin tone. DALL-E 3 (65.6%), Midjourney 5.2 (76.7%), and Stable Diffusion 2.1 (56.2%) had a statistically higher representation of men than Firefly 2 (42.9%) (P, 0.0001). With Firefly 2, 70.3% of characters had light skin tones, which was statistically lower (P, 0.0001) than for Stable Diffusion 2.1 (84.8%), Midjourney 5.2 (100%), and DALL-E 3 (94.8%). Overall, image quality metrics were average or better in 87.2% for DALL-E 3 and 86.2% for Midjourney 5.2, whereas 50.9% were inadequate or poor for Firefly 2 and 86.0% for Stable Diffusion 2.1. Conclusion: Generative AI text-to-image generation using DALL-E 3 via GPT-4 has the best overall quality compared with Firefly 2, Midjourney 5.2, and Stable Diffusion 2.1. Nonetheless, DALL-E 3 includes inherent biases associated with gender and ethnicity that demand more critical evaluation. COPYRIGHT © 2024 by the Society of Nuclear Medicine and Molecular Imaging.","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85211830034"
"Sarkar, A.R.; Chuang, Y.-S.; Mohammed, N.; Jiang, X.","Sarkar, Atiquer Rahman (57223022474); Chuang, Yaoshun (58739616700); Mohammed, Noman (23025118200); Jiang, Xiaoqian (59051718600)","57223022474; 58739616700; 23025118200; 59051718600","De-identification is not enough: a comparison between de-identified and synthetic clinical notes","2024","Scientific Reports","14","1","29669","","","7","10.1038/s41598-024-81170-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85210499709&doi=10.1038%2Fs41598-024-81170-y&partnerID=40&md5=979bf2163ece540035641ff2faa173b6","For sharing privacy-sensitive data, de-identification is commonly regarded as adequate for safeguarding privacy. Synthetic data is also being considered as a privacy-preserving alternative. Recent successes with numerical and tabular data generative models and the breakthroughs in large generative language models raise the question of whether synthetically generated clinical notes could be a viable alternative to real notes for research purposes. In this work, we demonstrated that (i) de-identification of real clinical notes does not protect records against a membership inference attack, (ii) proposed a novel approach to generate synthetic clinical notes using the current state-of-the-art large language models, (iii) evaluated the performance of the synthetically generated notes in a clinical domain task, and (iv) proposed a way to mount a membership inference attack where the target model is trained with synthetic data. We observed that when synthetically generated notes closely match the performance of real data, they also exhibit similar privacy concerns to the real data. Whether other approaches to synthetically generated clinical notes could offer better trade-offs and become a better alternative to sensitive real notes warrants further investigation. © The Author(s) 2024.","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85210499709"
"Schwieger, A.; Angst, K.; de Bardeci, M.; Burrer, A.; Cathomas, F.; Ferrea, S.; Grätz, F.; Knorr, M.; Kronenberg, G.; Spiller, T.; Troi, D.; Seifritz, E.; Weber, S.; Olbrich, S.","Schwieger, Arne (59260960500); Angst, Katrin (6507707516); de Bardeci, Mateo (57223876736); Burrer, Achim (57207832465); Cathomas, Flurin (36514279200); Ferrea, Stefano (35182848700); Grätz, Franziska (59261144400); Knorr, Marius (57708927800); Kronenberg, Golo D. (6701566211); Spiller, Tobias Raphael (57195731193); Troi, David (59261681800); Seifritz, Erich (57203074345); Weber, Samantha (57226366933); Olbrich, Sebastian (24173860000)","59260960500; 6507707516; 57223876736; 57207832465; 36514279200; 35182848700; 59261144400; 57708927800; 6701566211; 57195731193; 59261681800; 57203074345; 57226366933; 24173860000","Large language models can support generation of standardized discharge summaries – A retrospective study utilizing ChatGPT-4 and electronic health records","2024","International Journal of Medical Informatics","192","","105654","","","14","10.1016/j.ijmedinf.2024.105654","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85206902315&doi=10.1016%2Fj.ijmedinf.2024.105654&partnerID=40&md5=06a9deac2587ac72b43c0400690dcad1","Objective: To evaluate whether psychiatric discharge summaries (DS) generated with ChatGPT-4 from electronic health records (EHR) can match the quality of DS written by psychiatric residents. Methods: At a psychiatric primary care hospital, we compared 20 inpatient DS, written by residents, to those written with ChatGPT-4 from pseudonymized residents’ notes of the patients’ EHRs and a standardized prompt. 8 blinded psychiatry specialists rated both versions on a custom Likert scale from 1 to 5 across 15 quality subcategories. The primary outcome was the overall rating difference between the two groups. The secondary outcomes were the rating differences at the level of individual question, case, and rater. Results: Human-written DS were rated significantly higher than AI (mean ratings: human 3.78, AI 3.12, p < 0.05). They surpassed AI significantly in 12/15 questions and 16/20 cases and were favored significantly by 7/8 raters. For “low expected correction effort”, human DS were rated as 67 % favorable, 19 % neutral, and 14 % unfavorable, whereas AI-DS were rated as 22 % favorable, 33 % neutral, and 45 % unfavorable. Hallucinations were present in 40 % of AI-DS, with 37.5 % deemed highly clinically relevant. Minor content mistakes were found in 30 % of AI and 10 % of human DS. Raters correctly identified AI-DS with 81 % sensitivity and 75 % specificity. Discussion: Overall, AI-DS did not match the quality of resident-written DS but performed similarly in 20% of cases and were rated as favorable for “low expected correction effort” in 22% of cases. AI-DS lacked most in content specificity, ability to distill key case information, and coherence but performed adequately in conciseness, adherence to formalities, relevance of included content, and form. Conclusion: LLM-written DS show potential as templates for physicians to finalize, potentially saving time in the future. © 2024 The Author(s)","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85206902315"
"Roy, S.; Morrell, S.; Zhao, L.; Homayouni, R.","Roy, Sujoy (57193520398); Morrell, Shane (59152935200); Zhao, Lili (55338423800); Homayouni, Ramin (6603473160)","57193520398; 59152935200; 55338423800; 6603473160","Large-scale identification of social and behavioral determinants of health from clinical notes: comparison of Latent Semantic Indexing and Generative Pretrained Transformer (GPT) models","2024","BMC Medical Informatics and Decision Making","24","1","296","","","2","10.1186/s12911-024-02705-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85206036985&doi=10.1186%2Fs12911-024-02705-x&partnerID=40&md5=17f8d2bcc329c45954847ef09fd391ff","Background: Social and behavioral determinants of health (SBDH) are associated with a variety of health and utilization outcomes, yet these factors are not routinely documented in the structured fields of electronic health records (EHR). The objective of this study was to evaluate different machine learning approaches for detection of SBDH from the unstructured clinical notes in the EHR. Methods: Latent Semantic Indexing (LSI) was applied to 2,083,180 clinical notes corresponding to 46,146 patients in the MIMIC-III dataset. Using LSI, patients were ranked based on conceptual relevance to a set of keywords (lexicons) pertaining to 15 different SBDH categories. For Generative Pretrained Transformer (GPT) models, API requests were made with a Python script to connect to the OpenAI services in Azure, using gpt-3.5-turbo-1106 and gpt-4-1106-preview models. Prediction of SBDH categories were performed using a logistic regression model that included age, gender, race and SBDH ICD-9 codes. Results: LSI retrieved patients according to 15 SBDH domains, with an overall average PPV ≥ 83%. Using manually curated gold standard (GS) sets for nine SBDH categories, the macro-F1 score of LSI (0.74) was better than ICD-9 (0.71) and GPT-3.5 (0.54), but lower than GPT-4 (0.80). Due to document size limitations, only a subset of the GS cases could be processed by GPT-3.5 (55.8%) and GPT-4 (94.2%), compared to LSI (100%). Using common GS subsets for nine different SBDH categories, the macro-F1 of ICD-9 combined with either LSI (mean 0.88, 95% CI 0.82-0.93), GPT-3.5 (0.86, 0.82-0.91) or GPT-4 (0.88, 0.83-0.94) was not significantly different. After including age, gender, race and ICD-9 in a logistic regression model, the AUC for prediction of six out of the nine SBDH categories was higher for LSI compared to GPT-4.0. Conclusions: These results demonstrate that the LSI approach performs comparable to more recent large language models, such as GPT-3.5 and GPT-4.0, when using the same set of documents. Importantly, LSI is robust, deterministic, and does not have document-size limitations or cost implications, which make it more amenable to real-world applications in health systems. © The Author(s) 2024.","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85206036985"
"Achterberg, J.L.; Haas, M.R.; Spruit, M.R.","Achterberg, Jim L. (59134748400); Haas, Marcel R. (58033771400); Spruit, Marco René (16178767900)","59134748400; 58033771400; 16178767900","On the evaluation of synthetic longitudinal electronic health records","2024","BMC Medical Research Methodology","24","1","181","","","3","10.1186/s12874-024-02304-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201301407&doi=10.1186%2Fs12874-024-02304-4&partnerID=40&md5=618a1e07efa71ea1a08546504b33a56c","Background: Synthetic Electronic Health Records (EHRs) are becoming increasingly popular as a privacy enhancing technology. However, for longitudinal EHRs specifically, little research has been done into how to properly evaluate synthetically generated samples. In this article, we provide a discussion on existing methods and recommendations when evaluating the quality of synthetic longitudinal EHRs. Methods: We recommend to assess synthetic EHR quality through similarity to real EHRs in low-dimensional projections, accuracy of a classifier discriminating synthetic from real samples, performance of synthetic versus real trained algorithms in clinical tasks, and privacy risk through risk of attribute inference. For each metric we discuss strengths and weaknesses, next to showing how it can be applied on a longitudinal dataset. Results: To support the discussion on evaluation metrics, we apply discussed metrics on a dataset of synthetic EHRs generated from the Medical Information Mart for Intensive Care-IV (MIMIC-IV) repository. Conclusions: The discussion on evaluation metrics provide guidance for researchers on how to use and interpret different metrics when evaluating the quality of synthetic longitudinal EHRs. © The Author(s) 2024.","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85201301407"
"Zhao, W.; Gu, D.; Yang, X.; Liang, C.; Jia, M.; Wang, X.; Zolotarev, O.","Zhao, Wang (57214242523); Gu, Dongxiao (25645808600); Yang, Xuejie (57203878578); Liang, Changyong (10038789900); Jia, Meihuizi (57330899000); Wang, Xiaoyu (35219444100); Zolotarev, Oleg V. (57203129675)","57214242523; 25645808600; 57203878578; 10038789900; 57330899000; 35219444100; 57203129675","MedT2T: An adaptive pointer constrain generating method for a new medical text-to-table task","2024","Future Generation Computer Systems","161","","","586","600","10","10.1016/j.future.2024.07.030","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200323286&doi=10.1016%2Fj.future.2024.07.030&partnerID=40&md5=c12f26552ee9330f2da00b7815f07619","Medical information extraction is a crucial task in the governance of healthcare data within medical information systems in the medical internet network, aimed at extracting vital information from existing content. However, structuring this key information into a table is currently a challenge, hindering the development of AI-driven smart health. In this study, we study the medical text-to-table task based on a new generative perspective. To address the challenges of ineffective numerical embedding, flexible table formats, and dense medical terminology and numerical entities in an end-to-end manner, we present the innovative medical text-to-table model called MedT2T. This model, built on the BART backbone, operates in an end-to-end manner and comprises three essential modules: Encoder, Decoder, and Adapter. The Encoder utilizes an innovative adaptive medical numerical constraint to facilitate precise embedding and generation of medical numerical data. The generated output of the Decoder adheres to relational constraints and table formats, ensuring the desired structure and organization. Additionally, the Adapter incorporates an adaptive pointer generation mechanism, allowing for dynamic referencing of medical terminology and numerical information either from the source text or generated through the vocabulary distribution of the Decoder. Our method outperforms existing baselines in terms of exact match, character level match, and BERTScore. We also proved that MedT2T can serve as an essential table extraction tool to bring informative gains for medical downstream classifiers and predictors. This study not only achieved accurate entity generation for tables from lengthy medical texts to improve physician efficiency in accessing critical information for decision-making, but also provided large-scale structured training table data for downstream tasks such as AI-driven smart healthcare. © 2024 Elsevier B.V.","Article","Final","","Scopus","2-s2.0-85200323286"
"Wallnöfer, A.; Burgstaller, J.M.; Weiss, K.; Rosemann, T.; Senn, O.; Markun, S.","Wallnöfer, Audrey (59131300000); Burgstaller, Jakob Martin (55930376900); Weiss, Katja (57423107300); Rosemann, Thomas Johannes (8309922800); Senn, Oliver (8091768400); Markun, Stefan (55641394200)","59131300000; 55930376900; 57423107300; 8309922800; 8091768400; 55641394200","Developing and testing a framework for coding general practitioners’ free-text diagnoses in electronic medical records - a reliability study for generating training data in natural language processing","2024","BMC Primary Care","25","1","257","","","1","10.1186/s12875-024-02514-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85198651032&doi=10.1186%2Fs12875-024-02514-1&partnerID=40&md5=961ff220499275b1c51026e90386ba71","Background: Diagnoses entered by general practitioners into electronic medical records have great potential for research and practice, but unfortunately, diagnoses are often in uncoded format, making them of little use. Natural language processing (NLP) could assist in coding free-text diagnoses, but NLP models require local training data to unlock their potential. The aim of this study was to develop a framework of research-relevant diagnostic codes, to test the framework using free-text diagnoses from a Swiss primary care database and to generate training data for NLP modelling. Methods: The framework of diagnostic codes was developed based on input from local stakeholders and consideration of epidemiological data. After pre-testing, the framework contained 105 diagnostic codes, which were then applied by two raters who independently coded randomly drawn lines of free text (LoFT) from diagnosis lists extracted from the electronic medical records of 3000 patients of 27 general practitioners. Coding frequency and mean occurrence rates (n and %) and inter-rater reliability (IRR) of coding were calculated using Cohen’s kappa (Κ). Results: The sample consisted of 26,980 LoFT and in 56.3% no code could be assigned because it was not a specific diagnosis. The most common diagnostic codes were, ‘dorsopathies’ (3.9%, a code covering all types of back problems, including non-specific lower back pain, scoliosis, and others) and ‘other diseases of the circulatory system’ (3.1%). Raters were in almost perfect agreement (Κ ≥ 0.81) for 69 of the 105 diagnostic codes, and 28 codes showed a substantial agreement (K between 0.61 and 0.80). Both high coding frequency and almost perfect agreement were found in 37 codes, including codes that are particularly difficult to identify from components of the electronic medical record, such as musculoskeletal conditions, cancer or tobacco use. Conclusion: The coding framework was characterised by a subset of very frequent and highly reliable diagnostic codes, which will be the most valuable targets for training NLP models for automated disease classification based on free-text diagnoses from Swiss general practice. © The Author(s) 2024.","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85198651032"
"Yin, Y.; Yuan, Z.; Tanvir, I.M.; Bao, X.","Yin, Yunfei (23062471400); Yuan, Zheng (59172344300); Tanvir, Islam Md (59197567300); Bao, Xianjian (57558144200)","23062471400; 59172344300; 59197567300; 57558144200","Electronic medical records imputation by temporal Generative Adversarial Network","2024","BioData Mining","17","1","19","","","4","10.1186/s13040-024-00372-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197265214&doi=10.1186%2Fs13040-024-00372-2&partnerID=40&md5=e4e98b2c2f6e8444fd9feb3d2fb2e44f","The loss of electronic medical records has seriously affected the practical application of biomedical data. Therefore, it is a meaningful research effort to effectively fill these lost data. Currently, state-of-the-art methods focus on using Generative Adversarial Networks (GANs) to fill the missing values of electronic medical records, achieving breakthrough progress. However, when facing datasets with high missing rates, the imputation accuracy of these methods sharply deceases. This motivates us to explore the uncertainty of GANs and improve the GAN-based imputation methods. In this paper, the GRUD (Gate Recurrent Unit Decay) network and the UGAN (Uncertainty Generative Adversarial Network) are proposed and organically combined, called UGAN-GRUD. In UGAN-GRUD, it highlights using GAN to generate imputation values and then leveraging GRUD to compensate them. We have designed the UGAN and the GRUD network. The former is employed to learn the distribution pattern and uncertainty of data through the Generator and Discriminator, iteratively. The latter is exploited to compensate the former by leveraging the GRUD based on time decay factor, which can learn the specific temporal relations in electronic medical records. Through experimental research on publicly available biomedical datasets, the results show that UGAN-GRUD outperforms the current state-of-the-art methods, with average 13% RMSE (Root Mean Squared Error) and 24.5% MAPE (Mean Absolute Percentage Error) improvements. © The Author(s) 2024.","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85197265214"
"Seong, D.; Mataraso, S.; Espinosa, C.; Berson, E.; Reincke, S.M.; Xue, L.; Kashiwagi, C.; Kim, Y.; Shu, C.-H.; Chung, P.; Ghanem, M.; Xie, F.; Wong, R.J.; Angst, M.S.; Gaudillière, B.; Shaw, G.M.; Stevenson, D.K.; Aghaeepour, N.","Seong, David (58433848900); Mataraso, Samson J. (57193826082); Espinosa, Camilo A. (57218285988); Berson, Eloïse (57728719300); Reincke, Sebastian Momsen (57203784949); Xue, Lei (57728827200); Kashiwagi, Chloe M. (57376777800); Kim, Yeasul (57728184400); Shu, Chihung (58613361500); Chung, Philip (55903007500); Ghanem, Marc (57737797800); Xie, Feng (57211117273); Wong, Ronald James (7402126812); Angst, Martin S. (7003458989); Gaudillière, Brice L. (56964182900); Shaw, Gary M. (56698456900); Stevenson, David K. (7402384031); Aghaeepour, Nima (23090163900)","58433848900; 57193826082; 57218285988; 57728719300; 57203784949; 57728827200; 57376777800; 57728184400; 58613361500; 55903007500; 57737797800; 57211117273; 7402126812; 7003458989; 56964182900; 56698456900; 7402384031; 23090163900","Generating pregnant patient biological profiles by deconvoluting clinical records with electronic health record foundation models","2024","Briefings in Bioinformatics","25","6","bbae574","","","4","10.1093/bib/bbae574","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85209636493&doi=10.1093%2Fbib%2Fbbae574&partnerID=40&md5=d7f791ad653b358163eedfd494172cbe","Translational biology posits a strong bi-directional link between clinical phenotypes and a patient's biological profile. By leveraging this bi-directional link, we can efficiently deconvolute pre-existing clinical information into biological profiles. However, traditional computational tools are limited in their ability to resolve this link because of the relatively small sizes of paired clinical-biological datasets for training and the high dimensionality/sparsity of tabular clinical data. Here, we use state-of-the-art foundation models (FMs) for electronic health record (EHR) data to generate proteomics profiles of pregnant patients, thereby deconvoluting pre-existing clinical information into biological profiles without the cost and effort of running large-scale traditional omics studies. We show that FM-derived representations of a patient's EHR data coupled with a fully connected neural network prediction head can generate 206 blood protein expression levels. Interestingly, these proteins were enriched for developmental pathways, while proteins not able to be generated from EHR data were enriched for metabolic pathways. Finally, we show a proteomic signature of gestational diabetes that includes proteins with established and novel links to gestational diabetes. These results showcase the power of FM-derived EHR representations in efficiently generating biological states of pregnant patients. This capability can revolutionize disease understanding and therapeutic development, offering a cost-effective, time-efficient, and less invasive alternative to traditional methods of generating proteomics. © 2024 The Author(s). Published by Oxford University Press.","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85209636493"
