PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Al Aziz, MM; Ahmed, T; Faequa, T; Jiang, XQ; Yao, YY; Mohammed, N				Al Aziz, Md Momin; Ahmed, Tanbir; Faequa, Tasnia; Jiang, Xiaoqian; Yao, Yi yu; Mohammed, Noman			Differentially Private Medical Texts Generation Using Generative Neural Networks	ACM TRANSACTIONS ON COMPUTING FOR HEALTHCARE												Technological advancements in data science have offered us affordable storage and efficient algorithms to query a large volume of data. Our health records are a significant part of this data, which is pivotal for healthcare providers and can be utilized in our well-being. The clinical note in electronic health records is one such category that collects a patient's complete medical information during different timesteps of patient care available in the form of free-texts. Thus, these unstructured textual notes contain events from a patient's admission to discharge, which can prove to be significant for future medical decisions. However, since these texts also contain sensitive information about the patient and the attending medical professionals, such notes cannot be shared publicly. This privacy issue has thwarted timely discoveries on this plethora of untapped information. Therefore, in this work, we intend to generate synthetic medical texts from a private or sanitized (de-identified) clinical text corpus and analyze their utility rigorously in different metrics and levels. Experimental results promote the applicability of our generated data as it achieves more than 80% accuracy in different pragmatic classification problems and matches (or outperforms) the original text data.					Jiang, Xiaoqian/K-6752-2012	Jiang, Xiaoqian/0000-0001-9933-2205													2691-1957	2637-8051				JAN	2022	3	1							5	10.1145/3469035	http://dx.doi.org/10.1145/3469035													WOS:001415818700008
J	Zhou, NN; Wu, QC; Wu, ZW; Marino, S; Dinov, ID				Zhou, Nina; Wu, Qiucheng; Wu, Zewen; Marino, Simeone; Dinov, Ivo D.			DataSifterText: Partially Synthetic Text Generation for Sensitive Clinical Notes	JOURNAL OF MEDICAL SYSTEMS												Petabytes of health data are collected annually across the globe in electronic health records (EHR), including significant information stored as unstructured free text. However, the lack of effective mechanisms to securely share clinical text has inhibited its full utilization. We propose a new method, DataSifterText, to generate partially synthetic clinical free-text that can be safely shared between stakeholders (e.g., clinicians, STEM researchers, engineers, analysts, and healthcare providers), limiting the re-identification risk while providing significantly better utility preservation than suppressing or generalizing sensitive tokens. The method creates partially synthetic free-text data, which inherits the joint population distribution of the original data, and disguises the location of true and obfuscated words. Under certain obfuscation levels, the resulting synthetic text was sufficiently altered with different choices, orders, and frequencies of words compared to the original records. The differences were comparable to machine-generated (fully synthetic) text reported in previous studies. We applied DataSifterText to two medical case studies. In the CDC work injury application, using privacy protection, 60.9-86.5% of the synthetic descriptions belong to the same cluster as the original descriptions, demonstrating better utility preservation than the naive content suppressing method (45.8-85.7%). In the MIMIC III application, the generated synthetic data maintained over 80% of the original information regarding patients' overall health conditions. The reported DataSifterText statistical obfuscation results indicate that the technique provides sufficient privacy protection (low identification risk) while preserving population-level information (high utility).					Zhou, Nina/ABC-4458-2020; Marino, Simeone/V-9899-2018; Wu, Zewen/V-1744-2019	Dinov, Ivo/0000-0003-3825-4375; 													0148-5598	1573-689X				NOV 16	2022	46	12							96	10.1007/s10916-022-01880-6	http://dx.doi.org/10.1007/s10916-022-01880-6								36380246					WOS:000884882600001
J	Kim, YH; Kim, C; Kim, YS				Kim, Yu-Hyeon; Kim, Chulho; Kim, Yu-Seop			Language Model-Based Text Augmentation System for Cerebrovascular Disease Related Medical Report	APPLIED SCIENCES-BASEL												Texts in medical fields containing sensitive information pose challenges for AI research usability. However, there is increasing interest in generating synthetic text to make medical text data bigger for text-based medical AI research. Therefore, this paper suggests a text augmentation system for cerebrovascular diseases, using a synthetic text generation model based on DistilGPT2 and a classification model based on BioBERT. The synthetic text generation model generates synthetic text using randomly extracted reports (5000, 10,000, 15,000, and 20,000) from 73,671 reports. The classification model is fine-tuned with the entire report to annotate synthetic text and build a new dataset. Subsequently, we fine-tuned a classification model by incrementally increasing the amount of augmented data added to each original dataset. Experimental results show that fine-tuning by adding augmented data improves model performance by up to 20%. Furthermore, we found that generating a large amount of synthetic text is not necessarily required to achieve better performance, and the appropriate amount of data augmentation depends on the size of the original data. Therefore, our proposed method reduces the time and resources needed for dataset construction, automating the annotation task and generating meaningful synthetic text for medical AI research.					; Kim, Chulho/AAC-8708-2022	Kim, YuHyeon/0009-0002-8621-5637; Kim, Yu-Seop/0000-0003-1645-4173; Kim, Chulho/0000-0001-8762-8340														2076-3417				OCT	2024	14	19							8652	10.3390/app14198652	http://dx.doi.org/10.3390/app14198652													WOS:001332183500001
J	Goncalves, A; Ray, P; Soper, B; Stevens, J; Coyle, L; Sales, AP				Goncalves, Andre; Ray, Priyadip; Soper, Braden; Stevens, Jennifer; Coyle, Linda; Sales, Ana Paula			Generation and evaluation of synthetic patient data	BMC MEDICAL RESEARCH METHODOLOGY												BackgroundMachine learning (ML) has made a significant impact in medicine and cancer research; however, its impact in these areas has been undeniably slower and more limited than in other application domains. A major reason for this has been the lack of availability of patient data to the broader ML research community, in large part due to patient privacy protection concerns. High-quality, realistic, synthetic datasets can be leveraged to accelerate methodological developments in medicine. By and large, medical data is high dimensional and often categorical. These characteristics pose multiple modeling challenges.MethodsIn this paper, we evaluate three classes of synthetic data generation approaches; probabilistic models, classification-based imputation models, and generative adversarial neural networks. Metrics for evaluating the quality of the generated synthetic datasets are presented and discussed.ResultsWhile the results and discussions are broadly applicable to medical data, for demonstration purposes we generate synthetic datasets for cancer based on the publicly available cancer registry data from the Surveillance Epidemiology and End Results (SEER) program. Specifically, our cohort consists of breast, respiratory, and non-solid cancer cases diagnosed between 2010 and 2015, which includes over 360,000 individual cases.ConclusionsWe discuss the trade-offs of the different methods and metrics, providing guidance on considerations for the generation and usage of medical synthetic data.					Soper, Braden/AAX-8778-2021; Goncalves, Andre/H-8065-2015	Soper, Braden/0000-0002-0308-708X; 														1471-2288				MAY 7	2020	20	1								10.1186/s12874-020-00977-1	http://dx.doi.org/10.1186/s12874-020-00977-1								32381039					WOS:000533977800004
J	Bahani, M; El Ouaazizi, A; Avram, R; Maalmi, K				Bahani, Mourad; El Ouaazizi, Aziza; Avram, Robert; Maalmi, Khalil			Enhancing chest X-ray diagnosis with text-to-image generation: A data case study	DISPLAYS												In the field of Artificial Intelligence (AI) and Medicine, chest X-ray images are crucial for diagnosing various diseases. However, training AI models presents challenges, particularly with limited data or cases involving significant pathology or minor anomalies. To address the constraint of limited data, data augmentation has emerged as a popular technique in medical imaging. One promising approach to augmenting chest X-ray images involves leveraging text -to -image generation, which transforms textual disease descriptions into synthetic images. This technique effectively rectifies class imbalances and enhances the accuracy and reliability of AI models used in medical imaging applications. This study introduces a text -to -image generation architecture based on DF-GAN to augment chest X-ray images. The study aims to assess the impact of augmented data on the performance of two AI models, namely VGG16 and ResNet50, in a classification task. The experimentation is conducted on two challenging datasets, namely Chest X-rays from Indiana University and NIH Chest X-rays. The findings reveal that integrating text -to -image generated data enhances sensitivity by 2.1%, specificity by 1.9%, and AUC by 1.4%, while also mitigating overfitting during training across both datasets. These results underscore the potential of text -to -image generation in bolstering the accuracy and robustness of AI models employed in medical imaging tasks.					Avram, Robert/AAK-9539-2021	BAHANI, Mourad/0000-0003-3208-941X													0141-9382	1872-7387				JUL	2024	83								102735	10.1016/j.displa.2024.102735	http://dx.doi.org/10.1016/j.displa.2024.102735		MAY 2024											WOS:001239802700001
J	Grazhdanski, G; Vasilev, V; Vassileva, S; Taskov, D; Antova, I; Koychev, I; Boytcheva, S				Grazhdanski, Georgi; Vasilev, Vasil; Vassileva, Sylvia; Taskov, Dimitar; Antova, Izabel; Koychev, Ivan; Boytcheva, Svetla			SynthMedic: Utilizing large language models for synthetic discharge summary generation, correction and validation☆	JOURNAL OF BIOMEDICAL INFORMATICS												Background and Objective: Synthetic clinical texts can improve transparency and reduce bias and costs when training and evaluating specialized language models in the medical domain. Synthetic texts are freely shareable, as they contain no real patient information, and can be customized for a specific task. The objective of this study is to develop a methodology for generating, validating, and correcting synthetic discharge summaries using LLMs without requiring any real patient data. Methods: The proposed approach uses an LLM to generate synthetic discharge summaries for specific diseases and standard medical references from Merck Manuals to ground the generation in internationally accepted medical practices. We validate the generated summaries using LLMs as well as by human expert validation. In addition, we propose a method for automatic correction of the generated discharge summaries using Knowledge Graphs to ensure medical factual correctness. Results: The conducted human expert evaluation shows that the generated synthetic discharge summaries are credible and factually accurate when provided with the medical reference context. The generated summaries achieve a System Usability Score of 94.35% based on a comprehensive rubric evaluated by medical professionals and a score of 93.65% on the Faithfulness metric evaluated by an LLM. Conclusions: The proposed methodology can be utilized to generate high-quality synthetic discharge summaries for various diseases. The generated synthetic corpus consists of 900 discharge summaries in English representing nine socially significant diseases and is publicly available under an open license. The community can take advantage of the corpus and proposed methodology to train complex machine learning models, helping medical professionals in their daily work without using real patient data.					Taskov, Dimitar/IQT-9988-2023; Vassileva, Sylvia/GPK-2071-2022; Boytcheva, Svetla/L-4099-2019	Taskov, Dimitar/0000-0002-0939-5382; Vassileva, Sylvia/0000-0002-2257-0659; Grazhdanski, Georgi/0009-0008-7084-6788; Boytcheva, Svetla/0000-0002-5542-9168													1532-0464	1532-0480				OCT	2025	170								104906	10.1016/j.jbi.2025.104906	http://dx.doi.org/10.1016/j.jbi.2025.104906		SEP 2025						40962129					WOS:001574909900001
J	Libbi, CA; Trienes, J; Trieschnigg, D; Seifert, C				Libbi, Claudia Alessandra; Trienes, Jan; Trieschnigg, Dolf; Seifert, Christin			Generating Synthetic Training Data for Supervised De-Identification of Electronic Health Records	FUTURE INTERNET												A major hurdle in the development of natural language processing (NLP) methods for Electronic Health Records (EHRs) is the lack of large, annotated datasets. Privacy concerns prevent the distribution of EHRs, and the annotation of data is known to be costly and cumbersome. Synthetic data presents a promising solution to the privacy concern, if synthetic data has comparable utility to real data and if it preserves the privacy of patients. However, the generation of synthetic text alone is not useful for NLP because of the lack of annotations. In this work, we propose the use of neural language models (LSTM and GPT-2) for generating artificial EHR text jointly with annotations for named-entity recognition. Our experiments show that artificial documents can be used to train a supervised named-entity recognition model for de-identification, which outperforms a state-of-the-art rule-based baseline. Moreover, we show that combining real data with synthetic data improves the recall of the method, without manual annotation effort. We conduct a user study to gain insights on the privacy of artificial text. We highlight privacy risks associated with language models to inform future research on privacy-preserving automated text generation and metrics for evaluating privacy-preservation during text generation.						Trienes, Jan/0000-0001-8891-0022; Seifert, Christin/0000-0002-6776-3868													1999-5903					MAY	2021	13	5							136	10.3390/fi13050136	http://dx.doi.org/10.3390/fi13050136													WOS:000654014000001
J	Wang, JZ; Wang, K; Yu, YF; Lu, YX; Xiao, WC; Sun, Z; Liu, F; Zou, ZX; Gao, YX; Yang, L; Zhou, HY; Miao, HP; Zhao, WT; Huang, LS; Zeng, LC; Guo, R; Chong, I; Deng, BY; Cheng, LL; Chen, XN; Luo, J; Zhu, MH; Baptista-Hon, D; Monteiro, O; Li, M; Ke, Y; Li, JH; Zeng, SM; Guan, TH; Zeng, J; Xue, KM; Oermann, E; Luo, HY; Yin, Y; Zhang, K; Qu, J				Wang, Jinzhuo; Wang, Kai; Yu, Yunfang; Lu, Yuxing; Xiao, Wenchao; Sun, Zhuo; Liu, Fei; Zou, Zixing; Gao, Yuanxu; Yang, Lei; Zhou, Hong-Yu; Miao, Hanpei; Zhao, Wenting; Huang, Lisha; Zeng, Lingchao; Guo, Rui; Chong, Ieng; Deng, Boyu; Cheng, Linling; Chen, Xiaoniao; Luo, Jing; Zhu, Meng-Hua; Baptista-Hon, Daniel; Monteiro, Olivia; Li, Ming; Ke, Yu; Li, Jiahui; Zeng, Simiao; Guan, Taihua; Zeng, Jin; Xue, Kanmin; Oermann, Eric; Luo, Huiyan; Yin, Yun; Zhang, Kang; Qu, Jia			Self-improving generative foundation model for synthetic medical image generation and clinical applications	NATURE MEDICINE												In many clinical and research settings, the scarcity of high-quality medical imaging datasets has hampered the potential of artificial intelligence (AI) clinical applications. This issue is particularly pronounced in less common conditions, underrepresented populations and emerging imaging modalities, where the availability of diverse and comprehensive datasets is often inadequate. To address this challenge, we introduce a unified medical image-text generative model called MINIM that is capable of synthesizing medical images of various organs across various imaging modalities based on textual instructions. Clinician evaluations and rigorous objective measurements validate the high quality of MINIM's synthetic images. MINIM exhibits an enhanced generative capability when presented with previously unseen data domains, demonstrating its potential as a generalist medical AI (GMAI). Our findings show that MINIM's synthetic images effectively augment existing datasets, boosting performance across multiple medical applications such as diagnostics, report generation and self-supervised learning. On average, MINIM enhances performance by 12% for ophthalmic, 15% for chest, 13% for brain and 17% for breast-related tasks. Furthermore, we demonstrate MINIM's potential clinical utility in the accurate prediction of HER2-positive breast cancer from MRI images. Using a large retrospective simulation analysis, we demonstrate MINIM's clinical potential by accurately identifying targeted therapy-sensitive EGFR mutations using lung cancer computed tomography images, which could potentially lead to improved 5-year survival rates. Although these results are promising, further validation and refinement in more diverse and prospective settings would greatly enhance the model's generalizability and robustness.					DENG, BOYU/GWR-2599-2022; Lu, Yuxing/JMB-5818-2023; li, jiahui/IQU-7121-2023; 骆, 卉妍/GWR-3383-2022; Xiao, Wenchao/KVY-3437-2024; Monteiro, Olivia/HPG-8530-2023; Oermann, Eric/AAD-9729-2020; Zhu, Meng-Hua/Y-7186-2019; yin, yun/OJT-9276-2025; Gao, Yuanxu/GMW-9983-2022	Lu, Yuxing/0000-0002-8207-4411; Gao, Yuanxu/0000-0001-5314-0195; Wang, Kai/0009-0001-0354-1772; Wang, Jinzhuo/0000-0002-9464-4426; LIU, FEI/0000-0003-1734-7214													1078-8956	1546-170X				FEB	2025	31	2					609	617		10.1038/s41591-024-03359-y	http://dx.doi.org/10.1038/s41591-024-03359-y		DEC 2024						39663467					WOS:001375457100001
J	Peter, OOEE; Adeniran, OT; John-Otumu, AM; Khalifa, F; Rahman, MM				Peter, Ojonugwa Oluwaf Ejiga emi; Adeniran, Opeyemi Taiwo; John-Otumu, Adetokunbo MacGregor; Khalifa, Fahmi; Rahman, Md Mahmudur			Text-Guided Synthesis in Medical Multimedia Retrieval: A Framework for Enhanced Colonoscopy Image Classification and Segmentation	ALGORITHMS												The lack of extensive, varied, and thoroughly annotated datasets impedes the advancement of artificial intelligence (AI) for medical applications, especially colorectal cancer detection. Models trained with limited diversity often display biases, especially when utilized on disadvantaged groups. Generative models (e.g., DALL-E 2, Vector-Quantized Generative Adversarial Network (VQ-GAN)) have been used to generate images but not colonoscopy data for intelligent data augmentation. This study developed an effective method for producing synthetic colonoscopy image data, which can be used to train advanced medical diagnostic models for robust colorectal cancer detection and treatment. Text-to-image synthesis was performed using fine-tuned Visual Large Language Models (LLMs). Stable Diffusion and DreamBooth Low-Rank Adaptation produce images that look authentic, with an average Inception score of 2.36 across three datasets. The validation accuracy of various classification models Big Transfer (BiT), Fixed Resolution Residual Next Generation Network (FixResNeXt), and Efficient Neural Network (EfficientNet) were 92%, 91%, and 86%, respectively. Vision Transformer (ViT) and Data-Efficient Image Transformers (DeiT) had an accuracy rate of 93%. Secondly, for the segmentation of polyps, the ground truth masks are generated using Segment Anything Model (SAM). Then, five segmentation models (U-Net, Pyramid Scene Parsing Network (PSNet), Feature Pyramid Network (FPN), Link Network (LinkNet), and Multi-scale Attention Network (MANet)) were adopted. FPN produced excellent results, with an Intersection Over Union (IoU) of 0.64, an F1 score of 0.78, a recall of 0.75, and a Dice coefficient of 0.77. This demonstrates strong performance in terms of both segmentation accuracy and overlap metrics, with particularly robust results in balanced detection capability as shown by the high F1 score and Dice coefficient. This highlights how AI-generated medical images can improve colonoscopy analysis, which is critical for early colorectal cancer detection.					; Khalifa, Fahmi/I-5663-2018; Ejiga-Peter, Ojonugwa/OOK-2770-2025; John-Otumu, Dr. Adetokunbo/ADD-8429-2022	Ejiga Peter, Ojonugwa Oluwafemi/0009-0003-2039-3075; Adeniran, Opeyemi/0009-0008-5709-0218; Khalifa, Fahmi/0000-0003-3318-2851; John-Otumu, Adetokunbo/0000-0002-3138-4639; 														1999-4893				MAR 9	2025	18	3							155	10.3390/a18030155	http://dx.doi.org/10.3390/a18030155													WOS:001453532400001
J	Zuo, XW; Jiang, AX; Zhou, KX				Zuo, Xiangwu; Jiang, Anxiao (Andrew); Zhou, Kaixiong			Reinforcement prompting for financial synthetic data generation	JOURNAL OF FINANCE AND DATA SCIENCE												The emergence of Large Language Models (LLMs) has unlocked unprecedented potential for comprehending and generating human-like text, fueling advances in the finance domain - a tool that can shape investment strategies and market predictions. Nevertheless, challenges stemming from the necessity for extensive labeled data and the imperative for data privacy remain. The generation of high-quality synthetic data emerges as a promising avenue to circumvent these issues. In this paper, we introduce a novel methodology, named "Reinforcement Prompting", to address these challenges. Our strategy employs a policy network as a Selector to generate prompts, and an LLM as an Executor to produce financial synthetic data. This synthetic data generation process preserves data privacy and mitigates the dependency on real-world labeled datasets. We validate the effectiveness of our approach through experimental evaluations. Our results indicate that models trained on synthetic data generated via our approach exhibit competitive performance when compared to those trained on actual financial data, thereby bridging the performance gap. This research provides a novel solution to the challenges of data privacy and labeled data scarcity in financial sentiment analysis, offering considerable advancement in the field of financial machine learning.						Jiang, Anxiao/0000-0002-0120-7930; Zuo, Xiangwu/0000-0002-1149-3678														2405-9188				DEC	2024	10								100137	10.1016/j.jfds.2024.100137	http://dx.doi.org/10.1016/j.jfds.2024.100137													WOS:001301339600001
