PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Guan, JQ; Li, RZ; Yu, S; Zhang, XG				Guan, Jiaqi; Li, Runzhe; Yu, Sheng; Zhang, Xuegong			A Method for Generating Synthetic Electronic Medical Record Text	IEEE-ACM TRANSACTIONS ON COMPUTATIONAL BIOLOGY AND BIOINFORMATICS												Machine learning (ML) and Natural Language Processing (NLP) have achieved remarkable success in many fields and have brought new opportunities and high expectation in the analyses of medical data, of which the most common type is the massive free-text electronic medical records (EMR). However, the free EMR texts are lacking consistent standards, rich of private information, and limited in availability. Also, it is often hard to have a balanced number of samples for the types of diseases under study. These problems hinder the development of ML and NLP methods for EMR data analysis. To tackle these problems, we developed a model called Medical Text Generative Adversarial Network or mtGAN, to generate synthetic EMR text. It is based on the GAN framework and is trained by the REINFORCE algorithm. It takes disease tags as inputs and generates synthetic texts as EMRs for the corresponding diseases. We evaluate the model from micro-level, macro-level and application-level on a Chinese EMR text dataset. The results show that the method has a good capacity to fit real data and can generate realistic and diverse EMR samples. This provides a novel way to avoid potential leakage of patient privacy while still supply sufficient well-controlled cohort data for developing downstream ML and NLP methods.					Zhang, Xuegong/ABG-9911-2022	Zhang, Xuegong/0000-0002-9684-5643													1545-5963	1557-9964				JAN 1	2021	18	1					173	182		10.1109/TCBB.2019.2948985	http://dx.doi.org/10.1109/TCBB.2019.2948985								31647443					WOS:000615042600017
J	Zhou, NN; Wu, QC; Wu, ZW; Marino, S; Dinov, ID				Zhou, Nina; Wu, Qiucheng; Wu, Zewen; Marino, Simeone; Dinov, Ivo D.			DataSifterText: Partially Synthetic Text Generation for Sensitive Clinical Notes	JOURNAL OF MEDICAL SYSTEMS												Petabytes of health data are collected annually across the globe in electronic health records (EHR), including significant information stored as unstructured free text. However, the lack of effective mechanisms to securely share clinical text has inhibited its full utilization. We propose a new method, DataSifterText, to generate partially synthetic clinical free-text that can be safely shared between stakeholders (e.g., clinicians, STEM researchers, engineers, analysts, and healthcare providers), limiting the re-identification risk while providing significantly better utility preservation than suppressing or generalizing sensitive tokens. The method creates partially synthetic free-text data, which inherits the joint population distribution of the original data, and disguises the location of true and obfuscated words. Under certain obfuscation levels, the resulting synthetic text was sufficiently altered with different choices, orders, and frequencies of words compared to the original records. The differences were comparable to machine-generated (fully synthetic) text reported in previous studies. We applied DataSifterText to two medical case studies. In the CDC work injury application, using privacy protection, 60.9-86.5% of the synthetic descriptions belong to the same cluster as the original descriptions, demonstrating better utility preservation than the naive content suppressing method (45.8-85.7%). In the MIMIC III application, the generated synthetic data maintained over 80% of the original information regarding patients' overall health conditions. The reported DataSifterText statistical obfuscation results indicate that the technique provides sufficient privacy protection (low identification risk) while preserving population-level information (high utility).					Zhou, Nina/ABC-4458-2020; Marino, Simeone/V-9899-2018; Wu, Zewen/V-1744-2019	Dinov, Ivo/0000-0003-3825-4375; 													0148-5598	1573-689X				NOV 16	2022	46	12							96	10.1007/s10916-022-01880-6	http://dx.doi.org/10.1007/s10916-022-01880-6								36380246					WOS:000884882600001
J	Walonoski, J; Kramer, M; Nichols, J; Quina, A; Moesel, C; Hall, D; Duffett, C; Dube, K; Gallagher, T; McLachlan, S				Walonoski, Jason; Kramer, Mark; Nichols, Joseph; Quina, Andre; Moesel, Chris; Hall, Dylan; Duffett, Carlton; Dube, Kudakwashe; Gallagher, Thomas; McLachlan, Scott			Synthea: An approach, method, and software mechanism for generating synthetic patients and the synthetic electronic health care record	JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION												Our objective is to create a source of synthetic electronic health records that is readily available; suited to industrial, innovation, research, and educational uses; and free of legal, privacy, security, and intellectual property restrictions. We developed Synthea, an open-source software package that simulates the lifespans of synthetic patients, modeling the 10 most frequent reasons for primary care encounters and the 10 chronic conditions with the highest morbidity in the United States. Synthea adheres to a previously developed conceptual framework, scales via open-source deployment on the Internet, and may be extended with additional disease and treatment modules developed by its user community. One million synthetic patient records are now freely available online, encoded in standard formats (eg, Health Level-7 [HL7] Fast Healthcare Interoperability Resources [FHIR] and Consolidated-Clinical Document Architecture), and accessible through an HL7 FHIR application program interface. Health care lags other industries in information technology, data exchange, and interoperability. The lack of freely distributable health records has long hindered innovation in health care. Approaches and tools are available to inexpensively generate synthetic health records at scale without accidental disclosure risk, lowering current barriers to entry for promising early-stage developments. By engaging a growing community of users, the synthetic data generated will become increasingly comprehensive, detailed, and realistic over time. Synthetic patients can be simulated with models of disease progression and corresponding standards of care to produce risk-free realistic synthetic health care records at scale.					Dube, Kudakwashe/O-4480-2019	Gallagher, Thomas/0000-0001-7917-3163													1067-5027	1527-974X				MAR	2018	25	3					230	238		10.1093/jamia/ocx079	http://dx.doi.org/10.1093/jamia/ocx079								29025144					WOS:000426850500003
J	Abdollahi, M; Gao, XY; Mei, Y; Ghosh, S; Li, JY; Narag, M				Abdollahi, Mahdi; Gao, Xiaoying; Mei, Yi; Ghosh, Shameek; Li, Jinyan; Narag, Michael			Substituting clinical features using synthetic medical phrases: Medical text data augmentation techniques	ARTIFICIAL INTELLIGENCE IN MEDICINE												Biomedical natural language processing (NLP) has an important role in extracting consequential information in medical discharge notes. Detecting meaningful features from unstructured notes is a challenging task in medical document classification. The domain specific phrases and different synonyms within the medical documents make it hard to analyze them. Analyzing clinical notes becomes more challenging for short documents like abstract texts. All of these can result in poor classification performance, especially when there is a shortage of the clinical data in real life. Two new approaches (an ontology-guided approach and a combined ontology-based with dictionary-based approach) are suggested for augmenting medical data to enrich training data. Three different deep learning approaches are used to evaluate the classification performance of the proposed methods. The obtained results show that the proposed methods improved the classification accuracy in clinical notes classification.					Abdollahi, Mahdi/GNH-5701-2022; Li, Jinyan/K-4293-2012; Mei, Yi/D-1451-2019	Abdollahi, Mahdi/0000-0002-6115-1342; Li, Jinyan/0000-0003-1833-7413; Mei, Yi/0000-0003-0682-1363; Narag, Michael/0000-0002-6061-2653; Gao, Xiaoying/0000-0002-6326-7947													0933-3657	1873-2860				OCT	2021	120								102167	10.1016/j.artmed.2021.102167	http://dx.doi.org/10.1016/j.artmed.2021.102167		SEP 2021						34629150					WOS:000703502200007
J	Nikolentzos, G; Vazirgiannis, M; Xypolopoulos, C; Lingman, M; Brandt, EG				Nikolentzos, Giannis; Vazirgiannis, Michalis; Xypolopoulos, Christos; Lingman, Markus; Brandt, Erik G. G.			Synthetic electronic health records generated with variational graph autoencoders	NPJ DIGITAL MEDICINE												Data-driven medical care delivery must always respect patient privacy-a requirement that is not easily met. This issue has impeded improvements to healthcare software and has delayed the long-predicted prevalence of artificial intelligence in healthcare. Until now, it has been very difficult to share data between healthcare organizations, resulting in poor statistical models due to unrepresentative patient cohorts. Synthetic data, i.e., artificial but realistic electronic health records, could overcome the drought that is troubling the healthcare sector. Deep neural network architectures, in particular, have shown an incredible ability to learn from complex data sets and generate large amounts of unseen data points with the same statistical properties as the training data. Here, we present a generative neural network model that can create synthetic health records with realistic timelines. These clinical trajectories are generated on a per-patient basis and are represented as linear-sequence graphs of clinical events over time. We use a variational graph autoencoder (VGAE) to generate synthetic samples from real-world electronic health records. Our approach generates health records not seen in the training data. We show that these artificial patient trajectories are realistic and preserve patient privacy and can therefore support the safe sharing of data across organizations.					; Brandt, Erik/F-3395-2016; Nikolentzos, Giannis/AAI-2667-2020	Lingman, Markus/0000-0002-4068-0341; Brandt, Erik/0000-0002-5496-4695; Nikolentzos, Giannis/0000-0002-0336-5879; Xypolopoulos, Christos/0009-0006-2034-6756													2398-6352					APR 29	2023	6	1							83	10.1038/s41746-023-00822-x	http://dx.doi.org/10.1038/s41746-023-00822-x								37120594					WOS:000978596300002
J	Ribeiro, LMC; Sidorenkov, G; El-Baz, N; Vliegenthart, R; Koopman, MY; Durning, SJ; de Carvalho Filho, MA				Ribeiro, Ligia Maria Cayres; Sidorenkov, Grigory; El-Baz, Noha; Vliegenthart, Rozemarijn; Koopman, Moniek Y.; Durning, Steven J.; de Carvalho Filho, Marco A.			Generating synthetic patient vignettes from real medical texts for the teaching of clinical reasoning	MEDICAL TEACHER												What was the educational challenge?Experience with simulated clinical cases is a relevant component in the development of clinical reasoning (CR). Generating and vetting cases that are locally relevant is, however, a complex and time-consuming process.What is the proposed solution?We propose the use of generative artificial intelligence (AI) to create synthetic patients (SyP), in the form of narratives, based on real-world data describing patients' symptoms. We pilot tested this solution with self-reported questionnaires of patients with chest discomfort using a chatbot.What are the potential benefits to a wider global audience?Automatically creating vetted clinical narratives that are locally relevant would amplify the teaching of CR, allowing for a larger exposure of students to clinical cases. We synthesized SyP from narrative data that retained the initial diagnostic hypothesis of the original patients as defined by a general practitioner. Our results indicate that a more efficient process of generating cases for educational purposes mediated by AI is feasible.What are the next steps?We plan to fine-tune the process to improve the narratives while preserving confidentiality. In the future, the process could be used on a large scale for the development of diagnostic abilities and communication skills.					Koopman, Moniek/J-6413-2016	Koopman, Moniek/0000-0001-5082-409X; El-Baz, Noha/0000-0002-3797-8796; Vliegenthart, Rozemarijn/0000-0002-7262-3376; Sidorenkov, Grigory/0000-0002-1926-8862													0142-159X	1466-187X				2025 SEP 12	2025										10.1080/0142159X.2025.2537334	http://dx.doi.org/10.1080/0142159X.2025.2537334		SEP 2025						40944706					WOS:001570947500001
J	Yan, C; Yan, Y; Wan, ZY; Zhang, ZQ; Omberg, L; Guinney, J; Mooney, SD; Malin, BA				Yan, Chao; Yan, Yao; Wan, Zhiyu; Zhang, Ziqi; Omberg, Larsson; Guinney, Justin; Mooney, Sean D.; Malin, Bradley A.			A Multifaceted benchmarking of synthetic electronic health record generation models	NATURE COMMUNICATIONS												Synthetic health data have the potential to mitigate privacy concerns in supporting biomedical research and healthcare applications. Modern approaches for data generation continue to evolve and demonstrate remarkable potential. Yet there is a lack of a systematic assessment framework to benchmark methods as they emerge and determine which methods are most appropriate for which use cases. In this work, we introduce a systematic benchmarking framework to appraise key characteristics with respect to utility and privacy metrics. We apply the framework to evaluate synthetic data generation methods for electronic health records data from two large academic medical centers with respect to several use cases. The results illustrate that there is a utility-privacy tradeoff for sharing synthetic health data and further indicate that no method is unequivocally the best on all criteria in each use case, which makes it evident why synthetic data generation methods need to be assessed in context.					Zhang, Ziqi/JDM-7543-2023; Malin, Bradley/KJR-0424-2024; Wan, Zhiyu/ACA-8019-2022	Zhang, Ziqi/0000-0002-3184-0147; Yan, Yao/0000-0002-6544-1478; Omberg, Larsson/0000-0002-4719-9120; Yan, Chao/0000-0002-6719-1388; Malin, Bradley/0000-0003-3040-5175; Wan, Zhiyu/0000-0003-3752-5778; Guinney, Justin H/0000-0003-1477-1888														2041-1723				DEC 9	2022	13	1							7609	10.1038/s41467-022-35295-1	http://dx.doi.org/10.1038/s41467-022-35295-1								36494374					WOS:000969991400017
J	Chuang, YS; Lee, CT; Lin, GH; Brandon, R; Jiang, XQ; Walji, MF; Tokede, O				Chuang, Yao-Shun; Lee, Chun-Teh; Lin, Guo-Hao; Brandon, Ryan; Jiang, Xiaoqian; Walji, Muhammad F.; Tokede, Oluwabunmi			Cross-institutional dental electronic health record entity extraction via generative artificial intelligence and synthetic notes	JAMIA OPEN												Background While most health-care providers now use electronic health records (EHRs) to document clinical care, many still treat them as digital versions of paper records. As a result, documentation often remains unstructured, with free-text entries in progress notes. This limits the potential for secondary use and analysis, as machine-learning and data analysis algorithms are more effective with structured data.Objective This study aims to use advanced artificial intelligence (AI) and natural language processing (NLP) techniques to improve diagnostic information extraction from clinical notes in a periodontal use case. By automating this process, the study seeks to reduce missing data in dental records and minimize the need for extensive manual annotation, a long-standing barrier to widespread NLP deployment in dental data extraction.Materials and Methods This research utilizes large language models (LLMs), specifically Generative Pretrained Transformer 4, to generate synthetic medical notes for fine-tuning a RoBERTa model. This model was trained to better interpret and process dental language, with particular attention to periodontal diagnoses. Model performance was evaluated by manually reviewing 360 clinical notes randomly selected from each of the participating site's dataset.Results The results demonstrated high accuracy of periodontal diagnosis data extraction, with the sites 1 and 2 achieving a weighted average score of 0.97-0.98. This performance held for all dimensions of periodontal diagnosis in terms of stage, grade, and extent.Discussion Synthetic data effectively reduced manual annotation needs while preserving model quality. Generalizability across institutions suggests viability for broader adoption, though future work is needed to improve contextual understanding.Conclusion The study highlights the potential transformative impact of AI and NLP on health-care research. Most clinical documentation (40%-80%) is free text. Scaling our method could enhance clinical data reuse. Electronic dental records contain valuable information, but much of it is buried in unstructured, free-text clinical notes. This makes it difficult to automatically use the data for research or quality improvement. In this study, we used advanced artificial intelligence (AI) tools to help extract detailed periodontal (gum disease) diagnoses from dental records at 2 major dental schools. Specifically, we used a tool called Generative Pretrained Transformer 4 to create synthetic (fake but realistic) dental notes, which were then used to train another AI model to recognize key medical information in real clinical notes. This method greatly reduced the need for manual data labeling, which is time-consuming and expensive. The AI model performed very accurately across different types of gum disease, achieving scores of 97%-98% in identifying conditions like periodontitis and gingivitis. Our approach also worked well across both dental institutions, showing it can be used in different settings. This research shows how AI can help improve the quality and usefulness of dental records, making it easier to study diseases and improve patient care.					Lin, Guo-Hao/J-4560-2019; Jiang, Xiaoqian/K-6752-2012; Toks, Bee/AAP-1181-2020; Brandon, Ryan/IXX-0887-2023	Lin, Guo-Hao/0000-0003-1290-9994; Jiang, Xiaoqian/0000-0001-9933-2205; 														2574-2531				JUN	2025	8	3							ooaf061	10.1093/jamiaopen/ooaf061	http://dx.doi.org/10.1093/jamiaopen/ooaf061								40584736					WOS:001518427100001
J	Yan, C; Zhang, ZQ; Nyemba, S; Li, ZH				Yan, Chao; Zhang, Ziqi; Nyemba, Steve; Li, Zhuohang			Generating Synthetic Electronic Health Record Data Using Generative Adversarial Networks: Tutorial	JMIR AI												Synthetic electronic health record (EHR) data generation has been increasingly recognized as an important solution to expand the accessibility and maximize the value of private health data on a large scale. Recent advances in machine learning have facilitated more accurate modeling for complex and high-dimensional data, thereby greatly enhancing the data quality of synthetic EHR data. Among various approaches, generative adversarial networks (GANs) have become the main technical path in the literature due to their ability to capture the statistical characteristics of real data. However, there is a scarcity of detailed guidance within the domain regarding the development procedures of synthetic EHR data. The objective of this tutorial is to present a transparent and reproducible process for generating structured synthetic EHR data using a publicly accessible EHR data set as an example. We cover the topics of GAN architecture, EHR data types and representation, data preprocessing, GAN training, synthetic data generation and postprocessing, and data quality evaluation. We conclude this tutorial by discussing multiple important issues and future opportunities in this domain. The source code of the entire process has been made publicly available.					Zhang, Ziqi/GOK-1099-2022	Zhang, Ziqi/0000-0002-3184-0147; Li, Zhuohang/0000-0001-5559-4094; Yan, Chao/0000-0002-6719-1388														2817-1705					2024	3								e52615	10.2196/52615	http://dx.doi.org/10.2196/52615								38875595					WOS:001374809000001
J	Yoon, J; Mizrahi, M; Ghalaty, NF; Jarvinen, T; Ravi, AS; Brune, P; Kong, FY; Anderson, D; Lee, G; Meir, A; Bandukwala, F; Kanal, E; Arik, SÖ; Pfister, T				Yoon, Jinsung; Mizrahi, Michel; Ghalaty, Nahid Farhady; Jarvinen, Thomas; Ravi, Ashwin S.; Brune, Peter; Kong, Fanyu; Anderson, Dave; Lee, George; Meir, Arie; Bandukwala, Farhana; Kanal, Elli; Arik, Sercan O.; Pfister, Tomas			EHR-Safe: generating high-fidelity and privacy-preserving synthetic electronic health records	NPJ DIGITAL MEDICINE												Privacy concerns often arise as the key bottleneck for the sharing of data between consumers and data holders, particularly for sensitive data such as Electronic Health Records (EHR). This impedes the application of data analytics and ML-based innovations with tremendous potential. One promising approach for such privacy concerns is to instead use synthetic data. We propose a generative modeling framework, EHR-Safe, for generating highly realistic and privacy-preserving synthetic EHR data. EHR-Safe is based on a two-stage model that consists of sequential encoder-decoder networks and generative adversarial networks. Our innovations focus on the key challenging aspects of real-world EHR data: heterogeneity, sparsity, coexistence of numerical and categorical features with distinct characteristics, and time-varying features with highly-varying sequence lengths. Under numerous evaluations, we demonstrate that the fidelity of EHR-Safe is almost-identical with real data (<3% accuracy difference for the models trained on them) while yielding almost-ideal performance in practical privacy metrics.																			2398-6352					AUG 11	2023	6	1							141	10.1038/s41746-023-00888-7	http://dx.doi.org/10.1038/s41746-023-00888-7								37567968					WOS:001048645600002
